순번,단지명,회사명,대표자명,공장대표주소(도로명),대표업종번호,업종명,생산품
531,개별입지,(주)호롱불,유연삼,"전북특별자치도 김제시 공덕면 유강3길 133, 벽성대학교 창업보육센터 205",28422,일반용 전기 조명장치 제조업,LED조명장치
532,개별입지,(주)홍익매트,배진미,전북특별자치도 김제시 금구면 선비로 817,16300,코르크 및 조물제품 제조업,보행매트
533,개별입지,(주)효성엘비데크 김제공장,조장환,"전북특별자치도 김제시 금산면 용산3길 119, 총 4필지",23325,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업,콘크리트제품(교량바닥판)
534,개별입지,J&K데코라,황미숙,전북특별자치도 김제시 금구면 금구리 339-16번지,32021,주방용 및 음식점용 목재가구 제조업,"씽크씽크워크탑, 카운터 인포메이션"
535,개별입지,J.S테크,서정수,전북특별자치도 김제시 백구면 영상리 184번지 외 2필지,30310,자동차 엔진용 신품 부품 제조업 외 1 종,자동차배기가스 저감장치
536,개별입지,JS테크,김경수,전북특별자치도 김제시 금구면 개전2길 7-19,22291,플라스틱 접착처리 제품 제조업,테이프
537,개별입지,SK퍼니처,서삼권,전북특별자치도 김제시 금구면 연동길 47,32021,주방용 및 음식점용 목재가구 제조업,주방가구
538,개별입지,jk테크,김우형,전북특별자치도 김제시 용지면 영상5길 243 외 1필지,32021,주방용 및 음식점용 목재가구 제조업,주방목재가구
539,개별입지,가공조은석재,박종노,전북특별자치도 김제시 백구면 학동2길 86-12,23919,기타 석제품 제조업,석재품
540,개별입지,건강나라퓨리웰,백은숙,"전북특별자치도 김제시 공덕면 유강3길 133, 벽성대학창업보육센터203호",28519,기타 가정용 전기기기 제조업,"손소독기,시약"
541,개별입지,건영공조,김영도,전북특별자치도 김제시 백구면 반월리 669-32번지,25112,구조용 금속 판제품 및 공작물 제조업,닥트
542,개별입지,건탑,김경숙,전북특별자치도 김제시 백구면 석담리 214-1번지 외 4필지 외 4필지,25113,육상 금속 골조 구조재 제조업 외 1 종,유로폼
543,개별입지,건하특장,박병덕,"전북특별자치도 김제시 금구면 용마로 508, (옥성리498-71)",30399,그 외 자동차용 신품 부품 제조업 외 3 종,"고가사다리차 탑승함, 공구함"
544,개별입지,공덕농업협동조합,문용수,"전북특별자치도 김제시 공덕면 공덕7길 6, 외 4필 (공덕면)",10611,곡물 도정업,쌀
545,개별입지,공덕농업협동조합,문용수,전북특별자치도 김제시 공덕면 청공로 421-10,10611,곡물 도정업,도정 보리
