시도,군구,관광지,내/외국인,총계(2023.01 ~ 2025.12),2023년,,,,,,,,,,,,,2024년,,,,,,,,,,,,,2025년,,,,,,,,,,,,,
,,,,,인원계,2023년 01월,2023년 02월,2023년 03월,2023년 04월,2023년 05월,2023년 06월,2023년 07월,2023년 08월,2023년 09월,2023년 10월,2023년 11월,2023년 12월,인원계,2024년 01월,2024년 02월,2024년 03월,2024년 04월,2024년 05월,2024년 06월,2024년 07월,2024년 08월,2024년 09월,2024년 10월,2024년 11월,2024년 12월,인원계,2025년 01월,2025년 02월,2025년 03월,2025년 04월,2025년 05월,2025년 06월,2025년 07월,2025년 08월,2025년 09월,2025년 10월,2025년 11월,2025년 12월,
인천광역시,연수구,인천도시역사관,합계,"532,312","157,445","10,436","12,309","14,552","16,322","16,786","16,280","9,477","9,070","9,930","20,695","10,806","10,782","191,175","10,210","12,696","17,596","21,252","20,791","19,171","12,274","15,421","14,900","22,559","13,469","10,836","183,692","11,151","9,414","12,512","16,376","20,865","18,461","13,596","15,429","16,113","24,771","13,899","11,105",
인천광역시,연수구,인천상륙작전기념관,내국인,"264,132","99,144","7,241","9,174","9,680","8,563","8,662","10,069","7,239","9,164","8,013","8,720","6,460","6,159","84,381","5,218","6,064","8,319","6,065","6,227","8,706","6,926","8,251","7,718","8,273","6,854","5,760","80,607","5,570","6,181","7,674","6,608","7,959","9,252","5,568","7,117","5,652","8,050","5,987","4,989",
인천광역시,연수구,인천상륙작전기념관,외국인,"29,782","10,000",718,747,791,902,978,890,770,849,745,818,"1,194",598,"10,371",348,389,"1,471","1,386",799,808,895,779,"1,002","1,304",695,495,"9,411",574,398,"1,793","1,384",764,771,596,601,788,807,660,275,
인천광역시,연수구,인천상륙작전기념관,합계,"293,914","109,144","7,959","9,921","10,471","9,465","9,640","10,959","8,009","10,013","8,758","9,538","7,654","6,757","94,752","5,566","6,453","9,790","7,451","7,026","9,514","7,821","9,030","8,720","9,577","7,549","6,255","90,018","6,144","6,579","9,467","7,992","8,723","10,023","6,164","7,718","6,440","8,857","6,647","5,264",
인천광역시,남동구, 소래철교,내국인,"452,432","452,432","34,604","37,763","53,521","54,698","54,063","37,344","28,331","26,739","3,335","53,693","36,033","32,308",,,,,,,,,,,,,,,,,,,,,,,,,,,
인천광역시,남동구, 소래철교,합계,"452,432","452,432","34,604","37,763","53,521","54,698","54,063","37,344","28,331","26,739","3,335","53,693","36,033","32,308",,,,,,,,,,,,,,,,,,,,,,,,,,,
인천광역시,남동구,소래습지생태공원전시관,내국인,"112,355","29,871","1,697","3,066","3,296",0,0,0,"2,817","2,816","3,803","6,397","3,795","2,184","42,023","2,181","1,859","4,022","4,079","4,575","3,788","2,682","2,635","3,999","6,192","3,996","2,015","40,461","1,571","1,855","2,992","3,189","4,625","4,133","2,125","2,809","4,581","5,903","4,403","2,275",
인천광역시,남동구,소래습지생태공원전시관,합계,"112,355","29,871","1,697","3,066","3,296",0,0,0,"2,817","2,816","3,803","6,397","3,795","2,184","42,023","2,181","1,859","4,022","4,079","4,575","3,788","2,682","2,635","3,999","6,192","3,996","2,015","40,461","1,571","1,855","2,992","3,189","4,625","4,133","2,125","2,809","4,581","5,903","4,403","2,275",
인천광역시,남동구,소래역사관,내국인,"106,613","37,323","1,909","3,298","3,224","3,367","2,902","2,215","2,066","3,040","5,941","4,184","2,966","2,211","28,526","2,260","2,462","3,026","2,575","2,988","2,439","1,536","2,958","5,730","2,552",0,0,"40,764",0,"2,406","3,508","3,192","4,454","2,973","2,593","4,069","6,287","5,561","3,133","2,588",
인천광역시,남동구,소래역사관,외국인,674,60,0,0,6,7,3,4,4,9,24,0,2,1,98,3,2,14,28,3,0,9,2,33,4,0,0,516,0,13,44,41,36,37,76,55,51,21,45,97,
인천광역시,남동구,소래역사관,합계,"107,287","37,383","1,909","3,298","3,230","3,374","2,905","2,219","2,070","3,049","5,965","4,184","2,968","2,212","28,624","2,263","2,464","3,040","2,603","2,991","2,439","1,545","2,960","5,763","2,556",0,0,"41,280",0,"2,419","3,552","3,233","4,490","3,010","2,669","4,124","6,338","5,582","3,178","2,685",
인천광역시,남동구,애보 박물관,내국인,"18,153","6,571","1,368",924,375,228,657,500,276,354,221,373,"1,127",168,"4,051",237,108,137,372,934,812,37,210,435,530,199,40,"7,531",60,45,28,250,225,848,115,"2,119","1,940",726,"1,060",115,
인천광역시,남동구,애보 박물관,합계,"18,153","6,571","1,368",924,375,228,657,500,276,354,221,373,"1,127",168,"4,051",237,108,137,372,934,812,37,210,435,530,199,40,"7,531",60,45,28,250,225,848,115,"2,119","1,940",726,"1,060",115,
인천광역시,부평구,기후변화체험관,내국인,"163,090","46,618","2,018","2,673","1,826","6,435","4,547","5,174","4,819","4,004","3,940","4,707","3,380","3,095","58,610","4,409","2,575","2,920","6,685","4,282","5,443","5,294","5,201","5,751","6,201","5,781","4,068","57,862","3,268","3,289","3,855","6,489","5,260","8,828","7,875","5,254","3,800","3,646","3,466","2,832",
인천광역시,부평구,기후변화체험관,합계,"163,090","46,618","2,018","2,673","1,826","6,435","4,547","5,174","4,819","4,004","3,940","4,707","3,380","3,095","58,610","4,409","2,575","2,920","6,685","4,282","5,443","5,294","5,201","5,751","6,201","5,781","4,068","57,862","3,268","3,289","3,855","6,489","5,260","8,828","7,875","5,254","3,800","3,646","3,466","2,832",
인천광역시,부평구,부평아트센터,내국인,"199,386","52,798","1,404","1,190","5,786","4,081","7,877","4,487","5,407",0,"3,023","4,701","7,813","7,029","78,247","2,062","3,577","4,739","5,687","7,579","6,470","12,672","5,259","6,203","7,706","8,087","8,206","68,341","1,459","2,965","7,008","9,367","8,257","6,414","9,998","3,015","7,154","4,288","3,576","4,840",
인천광역시,부평구,부평아트센터,외국인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인천광역시,부평구,부평아트센터,합계,"199,386","52,798","1,404","1,190","5,786","4,081","7,877","4,487","5,407",0,"3,023","4,701","7,813","7,029","78,247","2,062","3,577","4,739","5,687","7,579","6,470","12,672","5,259","6,203","7,706","8,087","8,206","68,341","1,459","2,965","7,008","9,367","8,257","6,414","9,998","3,015","7,154","4,288","3,576","4,840",
인천광역시,부평구,부평역사박물관,내국인,"177,363","50,925","2,024","2,713","3,460","4,613","5,087","5,264","4,145","4,565","5,334","6,091","4,405","3,224","55,997","3,866","3,260","3,908","4,343","5,742","4,885","4,327","4,836","5,731","4,748","5,089","5,262","70,441","3,967","3,848","4,919","5,134","13,269","7,252","6,807","5,221","4,877","5,035","4,726","5,386",
인천광역시,부평구,부평역사박물관,합계,"177,363","50,925","2,024","2,713","3,460","4,613","5,087","5,264","4,145","4,565","5,334","6,091","4,405","3,224","55,997","3,866","3,260","3,908","4,343","5,742","4,885","4,327","4,836","5,731","4,748","5,089","5,262","70,441","3,967","3,848","4,919","5,134","13,269","7,252","6,807","5,221","4,877","5,035","4,726","5,386",
인천광역시,부평구,안전체험관,내국인,"75,010","32,929","2,419","2,741","3,546","3,134","2,765","3,260","2,842","2,762","2,559","2,483","2,355","2,063","21,185","2,154","1,734","1,531","2,799","2,634","2,706","1,347","1,556","1,693","1,007","1,008","1,016","20,896",848,"1,132","2,248","2,571","2,411","3,337","2,223","2,577","2,055","1,494",0,0,
인천광역시,부평구,안전체험관,합계,"75,010","32,929","2,419","2,741","3,546","3,134","2,765","3,260","2,842","2,762","2,559","2,483","2,355","2,063","21,185","2,154","1,734","1,531","2,799","2,634","2,706","1,347","1,556","1,693","1,007","1,008","1,016","20,896",848,"1,132","2,248","2,571","2,411","3,337","2,223","2,577","2,055","1,494",0,0,
인천광역시,부평구,인천나비공원,내국인,"128,093","128,093","8,017","12,030","12,686","10,831","14,463","10,578","4,650","3,959","5,833","17,960","14,746","12,340",,,,,,,,,,,,,,,,,,,,,,,,,,,
인천광역시,부평구,인천나비공원,합계,"128,093","128,093","8,017","12,030","12,686","10,831","14,463","10,578","4,650","3,959","5,833","17,960","14,746","12,340",,,,,,,,,,,,,,,,,,,,,,,,,,,
인천광역시,계양구,인천어린이과학관,내국인,"762,992","271,697","25,714","24,460","20,164","22,284","22,426","21,281","23,653","25,879","18,438","20,907","21,360","25,131","280,708","24,720","23,844","22,657","18,230","22,721","24,328","23,509","29,869","22,659","22,947","21,111","24,113","210,587","24,945","22,752","20,203","18,946","25,214","23,418","26,223","29,881","19,005",,,,
인천광역시,계양구,인천어린이과학관,합계,"762,992","271,697","25,714","24,460","20,164","22,284","22,426","21,281","23,653","25,879","18,438","20,907","21,360","25,131","280,708","24,720","23,844","22,657","18,230","22,721","24,328","23,509","29,869","22,659","22,947","21,111","24,113","210,587","24,945","22,752","20,203","18,946","25,214","23,418","26,223","29,881","19,005",,,,
인천광역시,서구,검단 선사박물관,내국인,"168,560","26,641","2,073","2,184","1,775","2,291","2,313","2,231","1,933","2,877","2,833","2,223","2,195","1,713","62,241","2,861","3,057","3,828","4,218","4,750","5,610","6,363","7,169","6,511","5,642","5,513","6,719","79,678","7,786","7,926","6,902","6,994","5,437","4,848","7,481","7,289","5,943","6,010","6,082","6,980",
