산업체,성북구사업체수,성북구종사자수,돈암1동사업체수,돈암1동종사자수,돈암2동사업체수,돈암2동종사자수,안암동사업체수,안암동종사자수,보문동사업체수,보문동종사자수,정릉1동사업체수,정릉1동종사자수,정릉2동사업체수,정릉2동종사자수,정릉3동사업체수,정릉3동종사자수,정릉4동사업체수,정릉4동종사자수,길음1동사업체수,길음1동종사자수,길음2동사업체수,길음2동종사자수,월곡1동사업체수,월곡1동종사자수,월곡2동사업체수,월곡2동종사자수,장위1동사업체수,장위1동종사자수,장위2동사업체수,장위2동종사자수,장위3동사업체수,장위3동종사자수,성북동사업체수,성북동종사자수,삼선동사업체수,삼선동종사자수,동선동사업체수,동선동종사자수,종암동사업체수,종암동종사자수,석관동사업체수,석관동종사자수
시내버스 운송업,10,1203,,,,,,,,,,,,,3,233,2,621,1,22,,,,,,,,,,,1,40,,,,,1,32,1,38,1,217
기타 도시 정기 육상 여객 운송업,1,20,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부정기 육상 여객 운송업,1839,2766,54,54,62,62,38,38,206,206,87,87,132,273,95,95,136,275,91,91,34,34,144,144,60,60,87,87,84,104,68,361,40,40,74,74,29,103,119,119,199,459
택시 운송업,1835,2643,54,54,62,62,38,38,206,206,87,87,132,273,95,95,136,275,91,91,34,34,144,144,60,60,87,87,83,83,68,361,40,40,74,74,27,27,119,119,198,433
전세버스 운송업,4,123,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21,,,,,,,2,76,,,1,26
도로 화물 운송업,1612,1709,52,54,39,39,45,47,60,87,58,60,111,124,60,64,86,86,70,70,43,47,133,135,82,95,109,109,85,87,77,77,33,35,68,70,31,33,162,169,208,221
도로 화물 운송업,1612,1709,52,54,39,39,45,47,60,87,58,60,111,124,60,64,86,86,70,70,43,47,133,135,82,95,109,109,85,87,77,77,33,35,68,70,31,33,162,169,208,221
일반 화물자동차 운송업,15,67,,,,,,,3,30,2,4,1,8,1,5,,,,,1,3,2,4,1,3,,,,,,,1,3,2,4,,,1,3,,
용달 화물자동차 운송업,1312,1335,35,35,33,33,39,41,47,47,42,42,94,100,50,50,74,74,57,57,36,38,108,108,66,66,96,96,73,73,62,62,27,27,56,56,29,31,124,124,164,175
개별 화물자동차 운송업,285,307,17,19,6,6,6,6,10,10,14,14,16,16,9,9,12,12,13,13,6,6,23,23,15,26,13,13,12,14,15,15,5,5,10,10,2,2,37,42,44,46
소화물 전문 운송업,32,194,,,1,1,3,14,1,2,4,24,,,2,16,1,1,,,,,3,17,2,25,,,1,3,2,4,,,1,3,3,25,3,8,5,51
소화물 전문 운송업,32,194,,,1,1,3,14,1,2,4,24,,,2,16,1,1,,,,,3,17,2,25,,,1,3,2,4,,,1,3,3,25,3,8,5,51
택배업,9,24,,,1,1,1,2,,,1,2,,,1,12,1,1,,,,,1,1,,,,,,,,,,,1,3,1,1,,,1,1
늘찬 배달업,23,170,,,,,2,12,1,2,3,22,,,1,4,,,,,,,2,16,2,25,,,1,3,2,4,,,,,2,24,3,8,4,50
창고 및 운송관련 서비스업,54,127,,,1,1,5,8,4,12,1,2,,,3,3,1,1,1,3,6,34,,,4,7,2,6,2,3,1,1,4,5,5,16,8,9,4,4,2,12
보관 및 창고업,4,6,,,,,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보관 및 창고업,4,6,,,,,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일반 창고업,3,5,,,,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기타 보관 및 창고업,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기타 운송관련 서비스업,50,121,,,1,1,1,2,4,12,1,2,,,3,3,1,1,1,3,6,34,,,4,7,2,6,2,3,1,1,4,5,5,16,8,9,4,4,2,12
육상 운송지원 서비스업,42,85,,,,,1,2,2,4,1,2,,,3,3,1,1,1,3,6,34,,,4,7,1,2,2,3,1,1,2,2,4,7,8,9,4,4,1,1
주차장 운영업,42,85,,,,,1,2,2,4,1,2,,,3,3,1,1,1,3,6,34,,,4,7,1,2,2,3,1,1,2,2,4,7,8,9,4,4,1,1
그 외 기타 운송관련 서비스업,8,36,,,1,1,,,2,8,,,,,,,,,,,,,,,,,1,4,,,,,2,3,1,9,,,,,1,11
통관 대리 및 관련서비스업,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"화물운송 중개, 대리 및 관련 서비스업",7,35,,,,,,,2,8,,,,,,,,,,,,,,,,,1,4,,,,,2,3,1,9,,,,,1,11
숙박 및 음식점업,4461,13323,39,182,42,110,436,1613,169,452,108,288,136,381,161,457,154,366,181,543,207,690,158,456,315,968,125,256,160,330,67,201,228,855,446,1126,637,2156,329,954,363,939
숙박업,190,432,,,1,3,17,27,6,21,3,4,2,3,7,11,5,8,3,4,8,10,4,7,14,32,2,3,4,7,4,7,7,13,26,51,39,152,26,49,12,20
일반 및 생활 숙박시설 운영업,87,259,,,1,3,2,5,5,20,2,3,2,3,,,3,4,2,3,5,7,3,6,3,15,2,3,3,5,2,3,1,5,11,29,18,108,12,20,10,17
일반 및 생활 숙박시설 운영업,87,259,,,1,3,2,5,5,20,2,3,2,3,,,3,4,2,3,5,7,3,6,3,15,2,3,3,5,2,3,1,5,11,29,18,108,12,20,10,17
호텔업,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25,,,,
여관업,75,205,,,,,,,5,20,2,3,2,3,,,3,4,2,3,5,7,3,6,3,15,2,3,1,1,2,3,,,8,22,16,80,11,18,10,17
민박업,5,15,,,1,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,3,,,1,2,,
기타 일반 및 생활 숙박시설 운영업,6,14,,,,,1,3,,,,,,,,,,,,,,,,,,,,,2,4,,,,,2,4,1,3,,,,
기타 숙박업,103,173,,,,,15,22,1,1,1,1,,,7,11,2,4,1,1,3,3,1,1,11,17,,,1,2,2,4,6,8,15,22,21,44,14,29,2,3
기타 숙박업,103,173,,,,,15,22,1,1,1,1,,,7,11,2,4,1,1,3,3,1,1,11,17,,,1,2,2,4,6,8,15,22,21,44,14,29,2,3
기숙사 및 고시원 운영업,97,166,,,,,12,19,1,1,1,1,,,7,11,2,4,1,1,3,3,1,1,11,17,,,1,2,2,4,6,8,14,21,21,44,12,26,2,3
그 외 기타 숙박업,6,7,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,3,,
음식점 및 주점업,4271,12891,39,182,41,107,419,1586,163,431,105,284,134,378,154,446,149,358,178,539,199,680,154,449,301,936,123,253,156,323,63,194,221,842,420,1075,598,2004,303,905,351,919
음식점업,2940,9591,29,155,33,87,251,1074,115,313,81,223,102,302,113,358,114,283,106,369,109,476,127,387,221,713,82,189,100,233,48,152,145,635,297,837,384,1347,224,722,259,736
한식 음식점업,1562,4820,11,109,11,34,115,454,74,176,39,92,51,146,58,147,62,150,36,105,53,234,63,161,118,336,53,121,73,166,26,81,77,347,178,455,168,638,134,393,162,475
한식 일반 음식점업,973,2822,7,22,7,27,86,346,48,121,20,48,30,80,35,77,37,84,24,66,38,126,40,104,68,176,36,84,49,92,14,40,48,245,116,281,81,250,89,228,100,325
한식 면요리 전문점,127,362,,,1,1,7,40,8,15,5,9,5,12,1,2,7,17,2,5,5,11,5,13,10,31,2,3,7,19,3,6,14,47,13,39,12,46,7,20,13,26
한식 육류요리 전문점,365,1334,4,87,3,6,21,66,16,38,12,31,13,38,20,63,13,29,8,32,8,84,12,31,31,105,12,28,14,46,8,29,9,34,34,98,66,299,25,100,36,90
한식 해산물요리 전문점,97,302,,,,,1,2,2,2,2,4,3,16,2,5,5,20,2,2,2,13,6,13,9,24,3,6,3,9,1,6,6,21,15,37,9,43,13,45,13,34
외국식 음식점업,393,1464,3,8,4,7,55,208,12,34,7,28,10,36,23,78,8,19,13,59,17,109,13,85,23,80,5,21,6,20,6,18,26,113,38,145,85,280,20,69,19,47
중식 음식점업,137,538,1,5,2,5,19,80,6,19,3,14,5,20,9,34,2,8,5,23,6,34,6,22,7,22,4,20,3,13,4,15,6,21,13,59,22,73,7,34,7,17
일식 음식점업,116,376,2,3,2,2,14,56,3,11,2,5,4,14,7,13,5,9,5,19,3,18,3,9,8,27,1,1,3,7,2,3,5,26,16,62,22,67,5,13,4,11
서양식 음식점업,91,396,,,,,11,37,2,2,2,9,,,3,23,1,2,1,3,6,50,2,48,5,11,,,,,,,12,58,7,20,31,114,4,9,4,10
기타 외국식 음식점업,49,154,,,,,11,35,1,2,,,1,2,4,8,,,2,14,2,7,2,6,3,20,,,,,,,3,8,2,4,10,26,4,13,4,9
기관 구내식당업,37,295,,,,,9,67,2,13,,,,,2,55,2,15,1,13,3,14,3,14,5,45,,,,,,,,,5,27,3,21,1,8,1,3
기관 구내식당업,37,295,,,,,9,67,2,13,,,,,2,55,2,15,1,13,3,14,3,14,5,45,,,,,,,,,5,27,3,21,1,8,1,3
기타 간이 음식점업,948,3012,15,38,18,46,72,345,27,90,35,103,41,120,30,78,42,99,56,192,36,119,48,127,75,252,24,47,21,47,16,53,42,175,76,210,128,408,69,252,77,211
제과점업,163,626,3,9,2,8,13,53,5,18,7,46,6,17,3,14,7,25,12,41,11,43,8,27,10,38,3,9,1,2,5,21,17,108,11,25,21,64,10,31,8,27
"피자, 햄버거, 샌드위치 및 유사 음식점업",152,792,2,5,4,13,18,157,3,14,4,11,6,32,3,6,6,14,7,38,7,19,4,8,15,73,3,13,2,6,2,11,8,16,14,60,20,118,10,111,14,67
치킨 전문점,222,583,2,2,5,9,14,47,8,24,9,18,13,32,12,30,14,28,10,30,7,31,18,46,15,41,4,4,9,21,5,12,5,12,12,37,20,56,16,47,24,56
김밥 및 기타 간이 음식점업,335,853,6,16,6,14,23,81,9,31,8,13,11,28,10,24,9,21,20,72,11,26,14,38,29,79,12,18,7,15,4,9,8,33,32,68,56,152,32,62,28,53
간이음식 포장 판매 전문점,76,158,2,6,1,2,4,7,2,3,7,15,5,11,2,4,6,11,7,11,,,4,8,6,21,2,3,2,3,,,4,6,7,20,11,18,1,1,3,8
주점 및 비알코올 음료점업,1331,3300,10,27,8,20,168,512,48,118,24,61,32,76,41,88,35,75,72,170,90,204,27,62,80,223,41,64,56,90,15,42,76,207,123,238,214,657,79,183,92,183
주점업,668,1383,4,7,1,2,69,163,29,68,8,12,17,35,22,42,18,32,48,85,61,108,8,10,29,62,27,38,48,75,7,12,13,32,65,105,99,317,34,56,61,122
일반 유흥주점업,113,227,,,,,5,8,4,10,,,4,8,3,6,,,3,3,54,100,1,1,4,5,4,6,8,12,,,,,5,11,12,43,2,5,4,9
무도 유흥주점업,3,11,,,,,,,1,5,,,,,,,,,1,3,,,,,,,,,,,,,,,,,1,3,,,,
생맥주 전문점,40,115,,,,,7,19,,,1,1,2,10,1,3,,,1,1,,,,,4,12,1,1,,,,,1,4,4,4,16,53,,,2,7
기타 주점업,512,1030,4,7,1,2,57,136,24,53,7,11,11,17,18,33,18,32,43,78,7,8,7,9,21,45,22,31,40,63,7,12,12,28,56,90,70,218,32,51,55,106
비알코올 음료점업,663,1917,6,20,7,18,99,349,19,50,16,49,15,41,19,46,17,43,24,85,29,96,19,52,51,161,14,26,8,15,8,30,63,175,58,133,115,340,45,127,31,61
커피 전문점,457,1384,4,16,6,16,69,237,11,32,15,48,11,36,16,34,16,42,20,76,26,85,17,46,43,137,12,22,6,13,7,29,35,102,32,86,52,179,31,92,28,56
기타 비알코올 음료점업,206,533,2,4,1,2,30,112,8,18,1,1,4,5,3,12,1,1,4,9,3,11,2,6,8,24,2,4,2,2,1,1,28,73,26,47,63,161,14,35,3,5
정보통신업,241,1900,,,2,30,37,263,10,29,5,7,5,17,9,25,7,21,2,5,10,212,13,157,9,43,,,8,20,,,53,520,27,109,25,351,10,62,9,29
출판업,144,897,,,1,1,21,206,7,21,2,4,3,11,3,7,5,17,1,4,6,22,4,13,7,38,,,5,12,,,37,177,17,67,11,230,7,41,7,26
"서적, 잡지 및 기타 인쇄물 출판업",72,493,,,,,6,12,6,20,2,4,3,11,1,1,2,2,,,1,1,2,4,2,5,,,,,,,23,134,9,45,8,221,4,25,3,8
서적 출판업,50,385,,,,,5,9,5,19,1,2,2,2,1,1,2,2,,,,,2,4,2,5,,,,,,,15,71,7,40,3,204,3,24,2,2
교과서 및 학습서적 출판업,9,53,,,,,,,2,15,1,2,,,,,,,,,,,1,1,1,4,,,,,,,,,2,28,1,2,1,1,,
만화 출판업,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21,,
일반 서적 출판업,40,311,,,,,5,9,3,4,,,2,2,1,1,2,2,,,,,1,3,1,1,,,,,,,15,71,5,12,2,202,1,2,2,2
"신문, 잡지 및 정기간행물 출판업",17,66,,,,,1,3,1,1,1,2,,,,,,,,,1,1,,,,,,,,,,,5,31,1,4,5,17,1,1,1,6
신문 발행업,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,,,1,6
잡지 및 정기간행물 발행업,13,51,,,,,1,3,1,1,1,2,,,,,,,,,1,1,,,,,,,,,,,5,31,1,4,2,8,1,1,,
정기 광고간행물 발행업,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,
기타 인쇄물 출판업,5,42,,,,,,,,,,,1,9,,,,,,,,,,,,,,,,,,,3,32,1,1,,,,,,
기타 인쇄물 출판업,5,42,,,,,,,,,,,1,9,,,,,,,,,,,,,,,,,,,3,32,1,1,,,,,,
소프트웨어 개발 및 공급업,72,404,,,1,1,15,194,1,1,,,,,2,6,3,15,1,4,5,21,2,9,5,33,,,5,12,,,14,43,8,22,3,9,3,16,4,18
게임 소프트웨어 개발 및 공급업,7,39,,,,,1,11,,,,,,,,,,,,,1,12,,,1,8,,,2,3,,,2,5,,,,,,,,
유선 온라인 게임 소프트웨어 개발 및 공급업,2,9,,,,,,,,,,,,,,,,,,,,,,,1,8,,,,,,,1,1,,,,,,,,
모바일 게임 소프트웨어 개발 및 공급업,4,18,,,,,1,11,,,,,,,,,,,,,,,,,,,,,2,3,,,1,4,,,,,,,,
기타 게임 소프트웨어 개발 및 공급업,1,12,,,,,,,,,,,,,,,,,,,1,12,,,,,,,,,,,,,,,,,,,,
시스템ㆍ응용 소프트웨어 개발 및 공급업,65,365,,,1,1,14,183,1,1,,,,,2,6,3,15,1,4,4,9,2,9,4,25,,,3,9,,,12,38,8,22,3,9,3,16,4,18
시스템 소프트웨어 개발 및 공급업,29,118,,,1,1,5,25,,,,,,,,,2,11,,,3,6,2,9,2,5,,,1,3,,,1,3,4,18,1,3,3,16,4,18
응용 소프트웨어 개발 및 공급업,36,247,,,,,9,158,1,1,,,,,2,6,1,4,1,4,1,3,,,2,20,,,2,6,,,11,35,4,4,2,6,,,,
영상ㆍ오디오 기록물 제작 및 배급업,31,155,,,1,29,1,1,1,3,3,3,,,3,10,,,,,1,2,1,1,1,1,,,,,,,7,28,3,10,9,67,,,,
"영화, 비디오물, 방송프로그램 제작 및 배급업",26,148,,,1,29,1,1,1,3,2,2,,,3,10,,,,,1,2,,,1,1,,,,,,,7,28,1,6,8,66,,,,
"영화, 비디오물 및 방송프로그램 제작업",16,52,,,,,,,1,3,2,2,,,3,10,,,,,1,2,,,1,1,,,,,,,5,23,1,6,2,5,,,,
일반 영화 및 비디오물 제작업,4,7,,,,,,,,,1,1,,,,,,,,,1,2,,,,,,,,,,,1,1,,,1,3,,,,
광고 영화 및 비디오물 제작업,12,45,,,,,,,1,3,1,1,,,3,10,,,,,,,,,1,1,,,,,,,4,22,1,6,1,2,,,,
"영화, 비디오물 및 방송프로그램 제작 관련 서비스업",1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,
"영화, 비디오물 및 방송프로그램 제작 관련 서비스업",1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,
"영화, 비디오물 및 방송프로그램 배급업",2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,,,,,,
"영화, 비디오물 및 방송프로그램 배급업",2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,,,,,,
영화 및 비디오물 상영업,7,88,,,1,29,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,58,,,,
영화관 운영업,3,82,,,1,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,53,,,,
비디오물 감상실 운영업,4,6,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,,,,
오디오물 출판 및 원판 녹음업,5,7,,,,,,,,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,2,4,1,1,,,,
오디오물 출판 및 원판 녹음업,5,7,,,,,,,,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,2,4,1,1,,,,
음악 및 기타 오디오물 출판업,3,5,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,3,1,1,,,,
녹음시설 운영업,2,2,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
방송업,3,71,,,,,,,,,,,,,1,3,,,,,,,1,52,,,,,,,,,,,,,,,1,16,,
텔레비전 방송업,3,71,,,,,,,,,,,,,1,3,,,,,,,1,52,,,,,,,,,,,,,,,1,16,,
"유선, 위성 및 기타 방송업",3,71,,,,,,,,,,,,,1,3,,,,,,,1,52,,,,,,,,,,,,,,,1,16,,
프로그램 공급업,1,3,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,
유선 방송업,2,68,,,,,,,,,,,,,,,,,,,,,1,52,,,,,,,,,,,,,,,1,16,,
우편 및 통신업,19,350,,,,,2,8,,,,,1,5,,,1,3,,,2,187,4,76,1,4,,,1,5,,,2,6,1,7,2,43,1,4,1,2
공영 우편업,13,231,,,,,2,8,,,,,1,5,,,1,3,,,2,187,,,1,4,,,1,5,,,2,6,1,7,,,1,4,1,2
공영 우편업,13,231,,,,,2,8,,,,,1,5,,,1,3,,,2,187,,,1,4,,,1,5,,,2,6,1,7,,,1,4,1,2
공영 우편업,13,231,,,,,2,8,,,,,1,5,,,1,3,,,2,187,,,1,4,,,1,5,,,2,6,1,7,,,1,4,1,2
전기 통신업,6,119,,,,,,,,,,,,,,,,,,,,,4,76,,,,,,,,,,,,,2,43,,,,
유선 통신업,5,116,,,,,,,,,,,,,,,,,,,,,4,76,,,,,,,,,,,,,1,40,,,,
유선 통신업,5,116,,,,,,,,,,,,,,,,,,,,,4,76,,,,,,,,,,,,,1,40,,,,
무선 및 위성 통신업,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,
무선 및 위성 통신업,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,
"컴퓨터 프로그래밍, 시스템 통합 및 관리업",27,337,,,,,6,18,2,5,,,,,2,5,1,1,1,1,,,2,4,,,,,1,1,,,4,271,6,25,1,5,1,1,,
"컴퓨터 프로그래밍, 시스템 통합 및 관리업",27,337,,,,,6,18,2,5,,,,,2,5,1,1,1,1,,,2,4,,,,,1,1,,,4,271,6,25,1,5,1,1,,
컴퓨터 프로그래밍 서비스업,12,37,,,,,2,7,1,4,,,,,1,4,1,1,,,,,,,,,,,1,1,,,2,5,3,14,,,1,1,,
컴퓨터 프로그래밍 서비스업,12,37,,,,,2,7,1,4,,,,,1,4,1,1,,,,,,,,,,,1,1,,,2,5,3,14,,,1,1,,
"컴퓨터시스템 통합 자문, 구축 및 관리업",12,293,,,,,4,11,1,1,,,,,1,1,,,,,,,1,3,,,,,,,,,2,266,3,11,,,,,,
컴퓨터시스템 통합 자문 및 구축 서비스업,8,278,,,,,4,11,1,1,,,,,1,1,,,,,,,1,3,,,,,,,,,1,262,,,,,,,,
컴퓨터시설 관리업,4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,3,11,,,,,,
기타 정보기술 및 컴퓨터운영 관련 서비스업,3,7,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,1,5,,,,
기타 정보기술 및 컴퓨터운영 관련 서비스업,3,7,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,1,5,,,,
정보서비스업,17,90,,,,,7,30,,,,,1,1,,,,,,,1,1,1,11,,,,,1,2,,,3,38,,,2,6,,,1,1
"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",11,72,,,,,4,19,,,,,1,1,,,,,,,1,1,1,11,,,,,1,2,,,2,37,,,,,,,1,1
"자료처리, 호스팅 및 관련 서비스업",3,39,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,2,37,,,,,,,,
자료 처리업,2,23,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,1,21,,,,,,,,
호스팅 및 관련 서비스업,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16,,,,,,,,
포털 및 기타 인터넷 정보매개 서비스업,8,33,,,,,3,17,,,,,1,1,,,,,,,1,1,1,11,,,,,1,2,,,,,,,,,,,1,1
포털 및 기타 인터넷 정보매개 서비스업,8,33,,,,,3,17,,,,,1,1,,,,,,,1,1,1,11,,,,,1,2,,,,,,,,,,,1,1
기타 정보 서비스업,6,18,,,,,3,11,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,6,,,,
뉴스 제공업,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
뉴스 제공업,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
그 외 기타 정보 서비스업,5,17,,,,,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,,,,
데이터베이스 및 온라인정보 제공업,5,17,,,,,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,,,,
금융 및 보험업,144,1576,2,6,5,29,10,76,10,151,3,24,5,52,2,14,4,32,9,83,5,12,8,150,9,75,4,34,8,66,1,7,8,122,19,142,14,96,11,340,7,65
금융업,117,1247,1,3,5,29,9,72,8,119,3,24,4,49,2,14,4,32,9,83,3,3,7,60,6,69,4,34,7,65,1,7,5,45,15,114,9,68,10,306,5,51
은행 및 저축기관,103,1168,1,3,5,29,9,72,6,57,3,24,4,49,2,14,4,32,7,79,,,6,59,6,69,4,34,6,64,1,7,5,45,11,107,8,67,10,306,5,51
일반은행,57,830,,,2,16,6,54,4,48,,,3,39,1,8,3,22,5,59,,,3,36,4,44,1,13,3,36,,,4,40,7,87,4,42,4,251,3,35
국내은행,57,830,,,2,16,6,54,4,48,,,3,39,1,8,3,22,5,59,,,3,36,4,44,1,13,3,36,,,4,40,7,87,4,42,4,251,3,35
신용조합 및 저축기관,46,338,1,3,3,13,3,18,2,9,3,24,1,10,1,6,1,10,2,20,,,3,23,2,25,3,21,3,28,1,7,1,5,4,20,4,25,6,55,2,16
신용조합,46,338,1,3,3,13,3,18,2,9,3,24,1,10,1,6,1,10,2,20,,,3,23,2,25,3,21,3,28,1,7,1,5,4,20,4,25,6,55,2,16
신탁업 및 집합투자업,1,15,,,,,,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신탁업 및 집합투자업,1,15,,,,,,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신탁업 및 집합투자업,1,15,,,,,,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기타 금융업,13,64,,,,,,,1,47,,,,,,,,,2,4,3,3,1,1,,,,,1,1,,,,,4,7,1,1,,,,
여신금융업,13,64,,,,,,,1,47,,,,,,,,,2,4,3,3,1,1,,,,,1,1,,,,,4,7,1,1,,,,
신용카드 및 할부금융업,1,47,,,,,,,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
그 외 기타 여신금융업,12,17,,,,,,,,,,,,,,,,,2,4,3,3,1,1,,,,,1,1,,,,,4,7,1,1,,,,
보험 및 연금업,1,90,,,,,,,,,,,,,,,,,,,,,1,90,,,,,,,,,,,,,,,,,,
보험업,1,90,,,,,,,,,,,,,,,,,,,,,1,90,,,,,,,,,,,,,,,,,,
사회보장 보험업,1,90,,,,,,,,,,,,,,,,,,,,,1,90,,,,,,,,,,,,,,,,,,
건강 보험업,1,90,,,,,,,,,,,,,,,,,,,,,1,90,,,,,,,,,,,,,,,,,,
금융 및 보험 관련 서비스업,26,239,1,3,,,1,4,2,32,,,1,3,,,,,,,2,9,,,3,6,,,1,1,,,3,77,4,28,5,28,1,34,2,14
금융 지원 서비스업,10,97,,,,,,,1,1,,,,,,,,,,,1,6,,,1,1,,,1,1,,,,,1,19,3,22,1,34,1,13
증권 및 선물 중개업,3,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,19,,,1,13
증권 중개업,3,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,19,,,1,13
기타 금융 지원 서비스업,7,65,,,,,,,1,1,,,,,,,,,,,1,6,,,1,1,,,1,1,,,,,1,19,1,3,1,34,,
투자 자문업 및 투자 일임업,3,8,,,,,,,1,1,,,,,,,,,,,1,6,,,1,1,,,,,,,,,,,,,,,,
그 외 기타 금융 지원 서비스업,4,57,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,19,1,3,1,34,,
보험 및 연금관련 서비스업,16,142,1,3,,,1,4,1,31,,,1,3,,,,,,,1,3,,,2,5,,,,,,,3,77,3,9,2,6,,,1,1
보험 및 연금관련 서비스업,16,142,1,3,,,1,4,1,31,,,1,3,,,,,,,1,3,,,2,5,,,,,,,3,77,3,9,2,6,,,1,1
손해 사정업,3,9,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,3,,,,
보험 대리 및 중개업,13,133,1,3,,,,,1,31,,,1,3,,,,,,,1,3,,,2,5,,,,,,,3,77,2,7,1,3,,,1,1
부동산업,1203,3827,32,116,39,176,54,100,54,102,44,124,56,138,31,123,47,108,72,197,66,204,57,144,54,126,40,50,53,67,55,112,62,116,80,163,111,225,92,1208,104,228
부동산업,1203,3827,32,116,39,176,54,100,54,102,44,124,56,138,31,123,47,108,72,197,66,204,57,144,54,126,40,50,53,67,55,112,62,116,80,163,111,225,92,1208,104,228
부동산 임대 및 공급업,175,471,4,8,,,16,34,8,20,3,7,16,39,11,37,2,3,2,7,9,14,6,21,9,16,1,1,2,3,3,5,18,38,14,29,30,88,11,64,10,37
부동산 임대업,129,350,3,6,,,14,30,8,20,1,1,7,14,10,26,2,3,1,3,2,2,3,10,7,10,,,,,2,3,16,33,12,26,26,84,8,56,7,23
주거용 건물 임대업,28,51,,,,,4,11,,,1,1,1,1,9,13,,,,,,,,,4,4,,,,,1,1,2,2,,,2,4,3,13,1,1
비주거용 건물 임대업,100,298,3,6,,,9,18,8,20,,,6,13,1,13,2,3,1,3,2,2,3,10,3,6,,,,,1,2,14,31,12,26,24,80,5,43,6,22
기타 부동산 임대업,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부동산 개발 및 공급업,46,121,1,2,,,2,4,,,2,6,9,25,1,11,,,1,4,7,12,3,11,2,6,1,1,2,3,1,2,2,5,2,3,4,4,3,8,3,14
주거용 건물 개발 및 공급업,42,113,1,2,,,2,4,,,2,6,8,23,1,11,,,1,4,6,11,3,11,1,2,1,1,2,3,1,2,2,5,1,2,4,4,3,8,3,14
비주거용 건물 개발 및 공급업,1,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
기타 부동산 개발 및 공급업,3,7,,,,,,,,,,,1,2,,,,,,,,,,,1,4,,,,,,,,,1,1,,,,,,
