순번,회사명,공장대표주소(도로명),업종번호,업종명
114,(주)뉴엠티,충청남도 아산시 음봉면 아산온천로 528-23,"30399, ",그 외 자동차용 신품 부품 제조업
115,(주)뉴인텍,충청남도 아산시 음봉면 음봉면로 243 ((주)뉴인텍),"26291, 30332",전자축전기 제조업 외 1 종
116,(주)뉴젠스,충청남도 아산시 음봉면 아산밸리로388번길 152,"29271, ",반도체 제조용 기계 제조업
117,(주)니오알에프,충청남도 아산시 탕정면 갈산리 100 선문대학교 창업보육센터 403호,"26429, ",기타 무선 통신장비 제조업
118,(주)니프코코리아 아산공장,충청남도 아산시 둔포면 아산밸리남로 146,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
119,(주)닛시산업,충청남도 아산시 영인면 토정로 93,"30201, 25113, 25114, 30202",차체 및 특장차 제조업 외 3 종
120,(주)다나바이오시스템,충청남도 아산시 음봉면 음봉로 471-50,"29299, 29261",그 외 기타 특수목적용 기계 제조업 외 1 종
121,(주)다산메디켐,충청남도 아산시 도고면 덕암산로 342,"10749, 10799, 21101, 21102, 21210",기타 식품 첨가물 제조업 외 4 종
122,(주)다산제약,충청남도 아산시 도고면 덕암산로 381,"21210, ",완제 의약품 제조업
123,(주)다스,충청남도 아산시 음봉면 음봉면로30번길 81-35,"30399, ",그 외 자동차용 신품 부품 제조업
124,(주)다승,충청남도 아산시 인주면 인주로 58-11,"30399, ",그 외 자동차용 신품 부품 제조업
125,(주)다옴테크,"충청남도 아산시 염치읍 아산로671번길 5-35, 5동","20422, ","치약, 비누 및 기타 세제 제조업"
126,(주)다우기업,충청남도 아산시 염치읍 쌍죽길 144-13,"20499, 20495",그 외 기타 분류 안된 화학제품 제조업 외 1 종
127,(주)다우텍,충청남도 아산시 둔포면 아산밸리로 374 ((주)다우텍),"29221, 25112, 25943",전자 응용 절삭기계 제조업 외 2 종
128,(주)다원솔루션,충청남도 아산시 둔포면 봉신로 273,"25929, ",그 외 기타 금속가공업
129,(주)다원알로이,충청남도 아산시 인주면 인주산단로 123-90,"24212, ","알루미늄 제련, 정련 및 합금 제조업"
130,(주)다호피앤씨,충청남도 아산시 선장면 아산만로 592-15,"22299, ",그 외 기타 플라스틱 제품 제조업
131,(주)다흰푸드,충청남도 아산시 음봉면 동산로 110-21,"10129, 10122",육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종
132,(주)대경피케이지,충청남도 아산시 음봉면 월암로436번길 79-3,"16232, 16231","목재 포장용 상자, 드럼 및 유사용기 제조업 외 1 종"
133,(주)대광ENG,충청남도 아산시 배방읍 장재리 601번지,"24191, 24199","도금, 착색 및 기타 표면처리강재 제조업 외 1 종"
134,(주)대돈엔지니어링,충청남도 아산시 음봉면 산동로 323-5,"22299, ",그 외 기타 플라스틱 제품 제조업
135,(주)대동물류포장,충청남도 아산시 음봉면 음봉로 165,"16232, ","목재 포장용 상자, 드럼 및 유사용기 제조업"
136,(주)대륙정공,충청남도 아산시 음봉면 산동로 53,"25923, ",도장 및 기타 피막처리업
137,(주)대륙제관,충청남도 아산시 영인면 영인로202번길 17 (총 2 필지),"25991, 25122, 28520",금속 캔 및 기타 포장용기 제조업 외 2 종
138,(주)대륙제관,충청남도 아산시 영인면 영인로202번길 14-15 외 1필지,"25991, ",금속 캔 및 기타 포장용기 제조업
139,(주)대륙제관 2공장,충청남도 아산시 영인면 신운리 151-2 외 1필지,"25991, ",금속 캔 및 기타 포장용기 제조업
140,(주)대림기공,충청남도 아산시 음봉면 산동로 55,"25113, 25114",육상 금속 골조 구조재 제조업 외 1 종
141,(주)대명,충청남도 아산시 둔포면 아산밸리로387번길 25,"29133, ","탭, 밸브 및 유사장치 제조업"
