순번,회사명,대표업종차수,대표업종번호,업종번호,업종명,시도,시군구,사업유형,남종업원,여종업원,외국인(남),외국인(여),종업원수
12474,주식회사 햇살식품,11,10121,"10121, 10129",가금류 가공 및 저장 처리업 외 1 종,충청남도,천안시 서북구,제조업,15,4,,,19
12475,주식회사 햇살팜,11,20313,"20313, ",유기질 비료 및 상토 제조업,충청남도,논산시,제조업,4,,,,4
12476,주식회사 향토,11,23999,"23999, ",그 외 기타 분류 안된 비금속 광물제품 제조업,충청남도,홍성군,제조업,5,,,,5
12477,주식회사 허니텍,11,10901,"10901, 10903",반려동물용 사료 제조업 외 1 종,충청남도,천안시 동남구,제조업,4,1,0,0,5
12478,주식회사 허브테크,11,26299,"26299, 25200, 26111, 26112, 26221, 26222, 26223, 26224, 26294, 26429, 28113, 28119, 28121, 28122, 28303, 28422, 28901, 30332, 30391, 30392, 30399, 30400, 31311, 31312, 31910",그 외 기타 전자부품 제조업 외 24 종,충청남도,천안시 서북구,제조업,30,40,,,70
12479,주식회사 현경테크,11,20202,"20202, ",합성수지 및 기타 플라스틱 물질 제조업,충청남도,천안시 서북구,제조업,8,2,0,0,10
12480,주식회사 현대공간조형,11,33910,"33910, 33932",간판 및 광고물 제조업 외 1 종,충청남도,공주시,제조업,1,1,,,2
12481,주식회사 현대부품,11,22299,"22299, ",그 외 기타 플라스틱 제품 제조업,충청남도,천안시 서북구,제조업,10,1,,,11
12482,주식회사 현대솔라에너지,11,25113,"25113, ",육상 금속 골조 구조재 제조업,충청남도,부여군,제조업,8,,,,8
12483,주식회사 현대티씨,11,29169,"29169, ",기타 물품 취급장비 제조업,충청남도,당진시,제조업,1,2,4,,7
12484,주식회사 현대피엠씨,11,22211,"22211, ","플라스틱 선, 봉, 관 및 호스 제조업",충청남도,논산시,제조업,,,,,0
12485,주식회사 현승,11,26410,"26410, 26421, 26521, 28423",유선 통신장비 제조업 외 3 종,충청남도,당진시,제조업,4,1,,,5
12486,주식회사 혜성이엔지,11,22249,"22249, ",기타 기계.장비 조립용 플라스틱 제품 제조업,충청남도,천안시 동남구,제조업,12,2,0,0,14
12487,주식회사 혜인플라스틱,11,22249,"22249, ",기타 기계.장비 조립용 플라스틱 제품 제조업,충청남도,천안시 동남구,제조업,,,,,0
12488,주식회사 호명이엔지,11,28303,"28303, ",절연 코드세트 및 기타 도체 제조업,충청남도,천안시 서북구,제조업,15,4,0,0,19
12489,주식회사 호진기업 제3공장,11,25113,"25113, ",육상 금속 골조 구조재 제조업,충청남도,천안시 동남구,제조업,5,1,0,0,6
12490,주식회사 호크마 테크,11,28123,"28123, ",배전반 및 전기 자동제어반 제조업,충청남도,예산군,제조업,4,2,0,0,6
12491,주식회사 홍시,11,22222,"22222, ",설치용 및 위생용 플라스틱제품 제조업,충청남도,부여군,제조업,3,1,5,5,14
12492,주식회사 홍익중공업,11,34011,"34011, ",건설.광업용 기계 및 장비 수리업,충청남도,당진시,제조업,6,1,,,7
12493,주식회사 홍주산업,11,10511,"10511, ",곡물 도정업,충청남도,홍성군,제조업,5,,,,5
12494,주식회사 홍주에코텍,11,20313,"20313, ",유기질 비료 및 상토 제조업,충청남도,홍성군,제조업,10,4,,,14
12495,주식회사 홍학장갑,11,14419,"14419, ",기타 편조의복 액세서리 제조업,충청남도,보령시,제조업,5,37,0,0,42
