순번,회사명,대표자명,공장대표주소(도로명),업종명
213,우주산업,"문순애, 김학성","부산광역시 금정구 삼어로 213-1, 2층(금사동, 우주산업)",침구 및 관련제품 제조업 외 22 종
214,욱성화학(주),"남복춘, 이병수","부산광역시 금정구 개좌로 174 (회동동, 욱성화학(주))",생물학적 제제 제조업 외 5 종
215,욱성화학주식회사 제1공장,"남복춘, 이병수","부산광역시 금정구 개좌로 174 (회동동, 욱성화학(주))",석탄화학계 화합물 및 기타 기초 유기 화학물질 제조업 외 1 종
216,욱성화학주식회사 제3공장,"남복춘, 이병수",부산광역시 금정구 개좌로 173 (회동동),석탄화학계 화합물 및 기타 기초 유기 화학물질 제조업 외 1 종
217,욱성화학주식회사 제5공장,"남복춘, 이병수",부산광역시 금정구 동천로 14-6 (회동동),그 외 기타 분류 안된 화학제품 제조업 외 1 종
218,욱성화학주식회사제2공장,"남복춘, 이병수","부산광역시 금정구 개좌로 186 (회동동, 욱성화학2공장)",석탄화학계 화합물 및 기타 기초 유기 화학물질 제조업 외 1 종
219,욱일산업(주),고재혁,"부산광역시 금정구 공단서로8번길 80-5 (금사동, 욱일산업(주))",구두류 제조업 외 1 종
220,원일유리,이용남,부산광역시 금정구 반송로489번길 60 (금사동),기타 판유리 가공품 제조업
221,웰김푸드,박영숙,"부산광역시 금정구 회천로32번길 36(회동동, 사해기계)",수산식물 가공 및 저장 처리업
222,유진아트,김대철,부산광역시 금정구 공단로 68-10 (금사동),안전유리 제조업 외 1 종
223,이온전력,정원섭,"부산광역시 금정구 금강로541번길 22, 3층 (구서동)",배전반 및 전기 자동제어반 제조업
224,일성산업,이훈석,"부산광역시 금정구 공단동로41번길 10, (금사동) 보림팩토피아동 1층 101,102호",운송장비 조립용 플라스틱제품 제조업 외 1 종
225,일신텍 주식회사,이상조,"부산광역시 금정구 개좌로272번길 21, 2층 201호 (회동동)",교통 신호장치 제조업 외 13 종
226,일흥테크,박화자,부산광역시 금정구 동천로 33 (회동동),주형 및 금형 제조업
227,장일메디칼,오해석,"부산광역시 금정구 개좌로 87, 지층(금사동)",그 외 기타 의료용 기기 제조업 외 1 종
228,재경실업,진소연,"부산광역시 금정구 금사로107번길 24, 2층 (금사동)",남자용 겉옷 제조업 외 8 종
229,전우사,백인석,"부산광역시 금정구 삼어로 223 (금사동, 진보금속공업(주))",스크린 인쇄업
230,제이에프씨(주),정병진,부산광역시 금정구 동천로7번길 62-22 (회동동),"도금, 착색 및 기타 표면처리강재 제조업 외 1 종"
231,제일산업,김시현,부산광역시 금정구 공단로49번길 12 (금사동),접착제 및 젤라틴 제조업
