산업분류,연제구 사업체수,연제구 종사자수,거제1동 사업체수,거제1동 종사자수,거제2동 사업체수,거제2동 종사자수,거제3동 사업체수,거제3동 종사자수,거제4동 사업체수,거제4동 종사자수,연산1동 사업체수,연산1동 종사자수,연산2동 사업체수,연산2동 종사자수,연산3동 사업체수,연산3동 종사자수,연산4동 사업체수,연산4동 종사자수,연산5동 사업체수,연산5동 종사자수,연산6동 사업체수,연산6동 종사자수,연산8동 사업체수,연산8동 종사자수,연산9동 사업체수,연산9동 종사자수
 301.자동차용 엔진 및 자동차 제조업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 302.자동차 차체 및 트레일러 제조업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 303.자동차 신품 부품 제조업,3,6,0,0,1,X,1,X,1,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 304.자동차 재제조 부품 제조업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 31.기타 운송장비 제조업,4,5,1,X,0,0,0,0,0,0,1,X,1,X,0,0,0,0,1,X,0,0,0,0,0,0
 311.선박 및 보트 건조업,3,4,1,X,0,0,0,0,0,0,0,0,1,X,0,0,0,0,1,X,0,0,0,0,0,0
 312.철도장비 제조업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" 313.항공기, 우주선 및 부품 제조업",1,X,0,0,0,0,0,0,0,0,1,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 319.그 외 기타 운송장비 제조업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 32.가구 제조업,35,48,0,0,0,0,5,8,1,X,3,6,2,X,0,0,1,X,1,X,2,X,7,8,13,17
 320.가구 제조업,35,48,0,0,0,0,5,8,1,X,3,6,2,X,0,0,1,X,1,X,2,X,7,8,13,17
 33.기타 제품 제조업,90,231,9,12,3,8,6,30,2,X,13,37,8,24,4,4,10,17,4,28,6,7,11,25,14,34
 331.귀금속 및 장신용품 제조업,4,4,0,0,1,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,X,0,0,2,X
 332.악기 제조업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 333.운동 및 경기용구 제조업,3,13,0,0,0,0,0,0,0,0,0,0,0,0,1,X,1,X,0,0,0,0,0,0,1,X
" 334.인형, 장난감 및 오락용품 제조업",2,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,X,1,X,0,0,0,0,0,0
 339.그 외 기타 제품 제조업,81,206,9,12,2,X,6,30,2,X,13,37,8,24,3,3,8,14,3,21,5,6,11,25,11,22
 34.산업용 기계 및 장비 수리업,37,53,6,8,4,4,3,3,1,X,1,X,1,X,0,0,0,0,6,15,6,6,3,4,6,9
 340.산업용 기계 및 장비 수리업,37,53,6,8,4,4,3,3,1,X,1,X,1,X,0,0,0,0,6,15,6,6,3,4,6,9
