순번,회사명,공장소재지주소,생산품,업종명,데이터기준일자
142,(주)디에스에프앤비,경상북도 포항시 북구 법원로 45-11 (장성동),육류 포장육,육류 포장육 및 냉동육 가공업 (가금류 제외),2025-08-13
143,(주)디에스엠앤씨,경상북도 포항시 북구 흥해읍 동해대로1954번길 43 (총 3 필지) 외 2필지,가공무연탄,코크스 및 연탄 제조업,2025-08-13
144,(주)디에스텍,경상북도 포항시 북구 청하면 소동리 312-1번지,이동식 조립 건물,기타 구조용 금속제품 제조업,2025-08-13
145,(주)디에이치산업,경상북도 포항시 남구 오천읍 송덕로 185,금속가공품,절삭가공 및 유사처리업,2025-08-13
146,(주)디에이치피,경상북도 포항시 남구 대송면 송덕로 18 ((주)융진),조선기자재,"도금, 착색 및 기타 표면처리강재 제조업",2025-08-13
147,(주)디엠에스,경상북도 포항시 남구 대송면 제내길53번길 44-18 외 1필지,자동화기계,그 외 기타 특수목적용 기계 제조업,2025-08-13
148,(주)디엠플랜트,경상북도 포항시 북구 흥해읍 덕장길 204 외 1필지,철구조재,육상 금속 골조 구조재 제조업,2025-08-13
149,(주)디케이씨,경상북도 포항시 북구 청하면 고현길98번길 66 외 1필지,스테인리스 후판,합금철 제조업,2025-08-13
150,(주)라라스틸,경상북도 포항시 남구 오천읍 송덕로 185,냉간인발강관,강관 제조업,2025-08-13
151,"(주)레스코 제1공장, 제2공장, CBP공장",경상북도 포항시 남구 동해안로 6262 (송정동),"벽돌, 블록","콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종",2025-08-13
152,(주)렉셈 제1공장,"경상북도 포항시 남구 호동로 26 (호동, 렉셈) 외 12필지",제오라이트 외,비금속광물 분쇄물 생산업 외 2 종,2025-08-13
153,(주)렉셈 제2공장,경상북도 포항시 남구 장흥로39번길 48 (장흥동),제오라이트 외,비금속광물 분쇄물 생산업 외 2 종,2025-08-13
154,(주)렉셈 제3공장,경상북도 포항시 남구 철강로492번길 47 (장흥동) 외 2필지,상토,비금속광물 분쇄물 생산업,2025-08-13
155,(주)로하스에스지,"경상북도 포항시 남구 대송면 제내길53번길 44-31, 로하스에스지","수배전반, 자동제어반, 전동기제어반, 분전반",배전반 및 전기 자동제어반 제조업,2025-08-13
156,(주)리스텍비즈,"경상북도 포항시 남구 철강로 443 (장흥동, 제철세라믹)",페로니켈 CBP,"기타 비철금속 제련, 정련 및 합금 제조업",2025-08-13
157,(주)리스트벤처,"경상북도 포항시 남구 지곡로127번길 65, 6실험동 6101호(지곡동, 포항산업과학연구원)",BIPV,기타 산업용 유리제품 제조업,2025-08-13
158,(주)리온텍,경상북도 포항시 북구 청하면 용산길 346,"로용버너,보일러용버너, 증기발생기","산업용 오븐, 노 및 노용 버너 제조업 외 2 종",2025-08-13
159,(주)린도,경상북도 포항시 북구 흥해읍 해안로 960,농축산용 사료 배합기 외,농업 및 임업용 기계 제조업 외 4 종,2025-08-13
160,(주)마스터시스템,"경상북도 포항시 남구 운하로 160, 107호 (송도동)","조명등, 광고등",전시 및 광고용 조명장치 제조업,2025-08-13
161,(주)마천중기,경상북도 포항시 남구 연일읍 형산강남로398번길 6 외 1필지,토목공사및유사용기계장비,건설 및 채광용 기계장비 제조업,2025-08-13
162,(주)만능정밀기계,경상북도 포항시 남구 연일읍 철강로141번길 73,철구조물 및 각종구조물 ,육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
163,(주)만서기업,경상북도 포항시 남구 연일읍 형산강남로418번길 31 외 1필지,철제포장재,금속 캔 및 기타 포장용기 제조업,2025-08-13
164,(주)만해금속,경상북도 포항시 남구 오천읍 광명리 산 84번지 광명일반산업단지 6B-1L,니켈ALLOY 및 스테인레스 원료 스크랩 재생가공,절삭가공 및 유사처리업,2025-08-13
165,(주)메타즈,경상북도 포항시북구 흥해읍 곡강리 1644 번지 외 1필지,"중장비부품,자동차부품",금속 단조제품 제조업 외 2 종,2025-08-13
166,(주)명강이엔지,경상북도 포항시 남구 대송면 제내길53번길 42-1,철구조재,육상 금속 골조 구조재 제조업,2025-08-13
167,(주)명광이엔테크,경상북도 포항시 남구 대송면 제내길31번길 29-10,산업기계,그 외 기타 특수목적용 기계 제조업 외 1 종,2025-08-13
168,(주)명성강업,경상북도 포항시 남구 오천읍 송덕로 228-9,스크랩,금속류 해체 및 선별업 외 1 종,2025-08-13
169,(주)명수,경상북도 포항시 남구 연일읍 형산강남로418번길 21,철구조물,육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
170,(주)명신,경상북도 포항시 남구 대송면 제내길19번길 12,"자동밸브, 산업기계","탭, 밸브 및 유사장치 제조업 외 2 종",2025-08-13
171,(주)모아산업,경상북도 포항시 남구 연일읍 철강로107번길 41,산업기계 제작,육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
172,(주)모이모션,"경상북도 포항시 남구 청암로 77, 나노융합기술원 313, 314호(지곡동, 포항공과대학교)",극저온 모터,그 외 기타 전자부품 제조업 외 4 종,2025-08-13
173,(주)몬스솔라,경상북도 포항시 남구 동해면 블루밸리동로248번길 8-4,"배전반, 태양광발전장치, 접속함, 일반철물",배전반 및 전기 자동제어반 제조업 외 3 종,2025-08-13
174,(주)무경,경상북도 포항시 남구 대송면 철강로250번길 13-5,"신발건조기, 공기청정기, 전기온풍기",기타 가정용 전기기기 제조업 외 2 종,2025-08-13
175,(주)무경2공장,경상북도 포항시 남구 대송면 철강로250번길 14-5,산업기계제작,기타 가공 공작기계 제조업,2025-08-13
176,(주)무한,경상북도 포항시 남구 청림서길10번길 16 (청림동),"전기자동 제어반, 축전지",배전반 및 전기 자동제어반 제조업 외 2 종,2025-08-13
