순번,회사명,공장대표주소(지번),업종명
257,청정문경약돌돼지 본사,문경시 윤직동2길 46 (윤직동),육류 포장육 및 냉동육 가공업 (가금류 제외)
259,문경쑥돈,문경시 유곡불정로 80 (유곡동),육류 포장육 및 냉동육 가공업 (가금류 제외)
300,천홍농업회사법인주식회사,문경시 동로면 금천로 2377,육류 포장육 및 냉동육 가공업 (가금류 제외)
52,(주)우진푸드,경상북도 문경시 신기동 1143-3번지,육류 기타 가공 및 저장처리업 (가금류 제외) 외 2 종
169,주식회사밀로우에프앤비,경상북도 문경시 신기동 1143-3,육류 기타 가공 및 저장처리업 (가금류 제외) 외 2 종
237,농업회사법인주식회사 서동아낙원양축,문경시 마성면 봉명길 227-21,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1종
283,주식회사 윤창,문경시 문경읍 진안리 144-2번지,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1종
213,(주)원미트,문경시 영신영강길 76-25 (영신동),육류 기타 가공 및 저장처리업 (가금류 제외)
314,대박푸드,문경시 마성면 구점길 76,육류 기타 가공 및 저장처리업 (가금류 제외)
76,(주)현암이앤지,경상북도 문경시 산양면 진정리 691-2,유압기기 제조업 외 4 종
51,(주)우일에프피엠,경상북도 문경시 영순면 율곡리 1087번지,"용기 세척, 포장 및 충전기 제조업 외 13 종"
254,문경연탄,문경시 신기로 84 (신기동) (총 2 필지),연탄 및 기타 석탄 가공품 제조업
281,주식회사 영진,문경시 신기로 64 (신기동),연탄 및 기타 석탄 가공품 제조업
80,HJ엔지니어링,경상북도 문경시 산양면 진정리 691-1번지,액체 펌프 제조업 외 4 종
96,논지엠,경상북도 문경시 가은읍 왕능리 620-0 외 1필지,액상시유 및 기타 낙농제품 제조업
39,(주)어센틱브랜즈코리아,경상북도 문경시 영순면 의곡리 1274번지,안경 및 안경렌즈 제조업 외 1 종
160,주식회사 에스제이산업개발,경상북도 문경시 마성면 오천리 895-1번지,아스팔트 콘크리트 및 혼합제품 제조업 외 2 종
196,(주)대지,문경시 산양면 금천강변길 150 (골재가공공장(상호무)),아스팔트 콘크리트 및 혼합제품 제조업
206,(주)새재아스콘,문경시 신기로 68-25 (신기동),아스팔트 콘크리트 및 혼합제품 제조업
207,(주)새재환경,문경시 신기로 68-5 (신기동),아스팔트 콘크리트 및 혼합제품 제조업
285,주흘산업개발,문경시 마성면 은성로 1412,아스팔트 콘크리트 및 혼합제품 제조업
236,농업회사법인문경미소(주),문경시 산양면 산동로 597,수산식물 가공 및 저장 처리업 외 1종
164,주식회사 주일,경상북도 문경시 산양면 진정리 690-0,수산식물 가공 및 저장 처리업 외 1 종
238,농업회사법인주식회사 한농,문경시 농암면 내서리 503번지,"수산동물 훈제, 조리 및 유사 조제식품 제조업 외 1종"
133,에이치지푸드,경상북도 문경시 신기동 1143-8,"수산동물 훈제, 조리 및 유사 조제식품 제조업"
161,주식회사 에이치지,경상북도 문경시 산양면 진정리 690-0,수산동물 건조 및 염장품 제조업 외 1 종
136,에프엔지(주),경상북도 문경시 산양면 진정리 630-11번지 외 1필지,수산동물 건조 및 염장품 제조업
7,(주)다원코리아,경상북도 문경시 산양면 진정리 600-3번지,속도계 및 적산계기 제조업 외 8 종
239,대성계전(주),문경시 호계면 태봉1길 5,속도계 및 적산계기 제조업 외 2종
117,동은이엔지,경상북도 문경시 산양면 진정리 600-3번지,속도계 및 적산계기 제조업
218,(주)케이제이씨우진,문경시 신기공단1길 22-11 (신기동),속도계 및 적산계기 제조업
315,농업회사법인 주식회사 샘이깊은물,문경시 문경읍 문경대로 2411,소주 제조업
175,천성산업,경상북도 문경시 가은읍 왕능리 613-1번지 외 1필지,세폭직물 제조업
71,(주)하나 엔 텍,경상북도 문경시 영순면 율곡리 1091번지,설치용 및 위생용 플라스틱제품 제조업
132,알파제약(주),경상북도 문경시 산양면 진정리 622번지,생물 의약품 제조업 외 1 종
53,(주)월드에너지,경상북도 문경시 가은읍 왕능리 638번지,산업용 냉장 및 냉동 장비 제조업
54,(주)월드에너지,경상북도 문경시 신기동 1121-0,산업용 냉장 및 냉동 장비 제조업
202,(주)봄이네,문경시 문경읍 새재로 876-4,빵류 제조업 외 1종
214,(주)위드팜,문경시 문경읍 주흘로 221,빵류 제조업
9,(주)대명화학2공장,경상북도 문경시 산양면 진정리 630-4번지,비주거용 건물 임대업
24,(주)미래플러스산업,경상북도 문경시 산양면 진정리 689-1번지,비주거용 건물 임대업
66,(주)플라콘,경상북도 문경시 영순면 율곡리 1092번지,비주거용 건물 임대업
81,가온전선,경상북도 문경시 유곡동 704,비주거용 건물 임대업
122,미림산업(주),경상북도 문경시 마성면 오천리 896번지,비주거용 건물 임대업
127,베베캐슬코리아,경상북도 문경시 신기동 1136-1번지,비주거용 건물 임대업
174,창신정공,경상북도 문경시 영순면 율곡리 1094번지,비주거용 건물 임대업
179,한국개발영농조합법인,경상북도 문경시 산양면 진정리 600-11번지 외 1필지,비주거용 건물 임대업
183,한두레TMR,경상북도 문경시 산양면 진정리 630-3번지,비주거용 건물 임대업
189,홍익산업,경상북도 문경시 산양면 진정리 600-3번지 외 1필지,비주거용 건물 임대업
90,광산자원,경상북도 문경시 가은읍 왕능리 614-2번지,비금속류 해체 및 선별업 외 1 종
79,21세기실리카(주),경상북도 문경시 산양면 반곡리 429-5번지 외 1필지,비금속광물 분쇄물 생산업
