순번,단지명,회사명,공장대표주소(도로명),공장대표주소(지번),업종명,관할조직명,설립구분,생산품,주원자재
7132,,선광산업,대구광역시 서구 와룡로66길 65-10 (중리동),대구광역시 서구 중리동 1138-2번지,그 외 기타 전자부품 제조업 외 1 종,대구광역시 서구,일반,"옵셋인쇄,경인쇄","부직포,종이"
7133,,선농엔지니어링,대구광역시 달성군 옥포면 비슬로457길 77,대구광역시 달성군 옥포면 간경리 485번지,농업 및 임업용 기계 제조업,대구광역시 달성군,일반,무인방제기 소독시설,
7134,달성2차일반산업단지,선린머트리얼,대구광역시 달성군 구지면 달성2차6로 7,대구광역시 달성군 구지면 예현리 758-3번지,"염료, 조제 무기안료, 유연제 및 기타 착색제 제조업",한국산업단지공단 대구지역본부 달성사무소,일반산업단지,특수형광물질,
7135,성서지방산업단지,선명I&P,"대구광역시 달서구 성서로54길 2, 1차 102B 1-1L (장동)",대구광역시 달서구 장동 306-54 1차 102B 1-1L,그 외 기타 의복액세서리 제조업,대구성서산업단지관리공단,일반산업단지,재귀반사 수변가공,직물 편물
7136,성서지방산업단지,선명엔지니어링(주),"대구광역시 달서구 달서대로64길 122, (2차단지 46B 15L) (대천동)",대구광역시 달서구 대천동 597-13번지,산업용 로봇 제조업 외 2 종,대구성서산업단지관리공단,일반산업단지,산업용로봇,
7137,,선명유리산업,대구광역시 북구 침산남로9길 131 (침산동),대구광역시 북구 침산동 1124-4번지,기타 판유리 가공품 제조업,대구광역시 북구,일반,판유리가공품,판유리
7138,성서지방산업단지,선아싸이징,"대구광역시 달서구 성서로71길 54, 1차단지 47B 4L (이곡동)",대구광역시 달서구 이곡동 1000-8번지,비주거용 건물 임대업,대구성서산업단지관리공단,일반산업단지,임대업,
7139,대구제3일반산업단지,선영테크,"대구광역시 북구 노원로9길 8, 101동 (노원동3가)",대구광역시 북구 노원동3가 234-1 101동,주형 및 금형 제조업,대구제3산업단지관리공단,일반산업단지,금형제조,금속
7140,성서지방산업단지,선오침장,"대구광역시 달서구 성서공단남로32길 53, (2차단지 42B 6L) (월암동)",대구광역시 달서구 월암동 925-5 (2차단지 42B 6L),침구 및 관련제품 제조업,대구성서산업단지관리공단,일반산업단지,침구류,면
7141,,선우,대구광역시 북구 성북로15길 31 (침산동),대구광역시 북구 침산동 557-19번지,간판 및 광고물 제조업,대구광역시 북구,일반,광고물,"철판,실사"
7142,성서지방산업단지,선우TEXTILE,"대구광역시 달서구 성서공단로39길 104, 1차단지 91B 1L (갈산동)",대구광역시 달서구 갈산동 400-90번지 1차단지 91B 1L,섬유제품 기타 정리 및 마무리 가공업,대구성서산업단지관리공단,일반산업단지,"피치,드라이",원단
7143,대구옥포농공단지,선우직물,대구광역시 달성군 논공읍 농공공단길 7,대구광역시 달성군 논공읍 금포리 946-4 번지,면직물 직조업,대구광역시 달성군,농공단지,면직물 제직,"원사,빔"
7144,서대구일반산업단지,선우테크,대구광역시 서구 국채보상로14길 17 (중리동),대구광역시 서구 중리동 1062번지,강관 제조업 외 1 종,서대구산업단지관리공단,일반산업단지,철강관연결구류,
7145,대구출판산업단지,선우피앤에스,대구광역시 달서구 문화회관11안길 22-5 (장동) 선우피앤에스,대구광역시 달서구 장동 868-4 선우피앤에스,경 인쇄업,대구성서산업단지관리공단,일반산업단지,경 인쇄업,경 인쇄업
7146,성서지방산업단지,선우피앤피,"대구광역시 달서구 문화회관11길 49-17, (출판 35B) (장동)",대구광역시 달서구 장동 869-8 (출판 35B),경 인쇄업,대구성서산업단지관리공단,일반산업단지,"스티커, 책자, 전단지","종이, 스티커원단"
