순번,단지명,회사명,공장대표주소(도로명),공장대표주소(지번),업종명,관할조직명,설립구분,생산품,주원자재
4747,서대구일반산업단지,라인모터스,"대구광역시 서구 문화로 37, 제5층 제매매장9호(이현동) 외 1필지",대구광역시 서구 이현동 42-30 제5층 제매매장9호 외 1필지,중고 자동차 판매업,서대구산업단지관리공단,일반산업단지,중고자동차판매,
4748,달성일반산업단지,라인텍스,대구광역시 달성군 논공읍 논공중앙로54길 8,대구광역시 달성군 논공읍 북리 1-8,화학섬유직물 직조업,달성1차산업단지관리공단,일반산업단지,나일론,원사
4749,성서지방산업단지,라인하우스,"대구광역시 달서구 성서로68길 39, B동 (1차 32B 17-15L) (갈산동)",대구광역시 달서구 갈산동 1-9 B동 (1차 32B 17-15L),침구 및 관련제품 제조업,대구성서산업단지관리공단,일반산업단지,침구류,"원단, 솜"
4750,성서지방산업단지,라인하우스,"대구광역시 달서구 성서로68길 40, 1차 32B 17-15L (갈산동)",대구광역시 달서구 갈산동 25-22 1차 32B 17-15L,침구 및 관련제품 제조업,대구성서산업단지관리공단,일반산업단지,침구,원단
4751,성서지방산업단지,라임기모,"대구광역시 달서구 성서공단북로42길 19, 1차 74B 6L (갈산동)",대구광역시 달서구 갈산동 400-65 1차 74B 6L,섬유제품 기타 정리 및 마무리 가공업,대구성서산업단지관리공단,일반산업단지,기모제품,직모
4752,성서지방산업단지,라임텍,"대구광역시 달서구 성서공단남로 37, 6층 611 (월암동)",대구광역시 달서구 월암동 1-224번지 6층 611,산업처리공정 제어장비 제조업,대구성서산업단지관리공단,일반산업단지,센서류(온도센서 외),
4753,성서지방산업단지,라임특수기모,"대구광역시 달서구 성서공단북로 367, 1차단지 33B 1-12L (장동)",대구광역시 달서구 장동 333-87 1차단지 33B 1-12L,섬유제품 기타 정리 및 마무리 가공업 외 1 종,대구성서산업단지관리공단,일반산업단지,기모가공지,
4754,대구연구개발특구,라파바이오(주),대구광역시 동구 신서동 0번지 대구연구개발특구 의료R&D지구 특12-3,대구광역시 동구 신서동 0번지 대구연구개발특구 의료R&D지구 특12-3,치과용 기기 제조업 외 1 종,(재)연구개발특구진흥재단 대구연구개발특구본부 기획경영팀,국가산업단지,MYPLANT(c치과용 임플란트 맞춤형 상부지대주),
4755,대구연구개발특구,라파바이오(주),대구광역시 동구 율암로 180 (상매동),대구광역시 동구 상매동 503-2번지,치과용 기기 제조업,(재)연구개발특구진흥재단 대구연구개발특구본부 기획경영팀,국가산업단지,치과의료용 임플란트용 상부 지대주,
4756,대구제3일반산업단지,락건기계식품플랜트,대구광역시 북구 3공단로 50 (노원동3가),대구광역시 북구 노원동3가 445번지,음ㆍ식료품 및 담배 가공기계 제조업,대구제3산업단지관리공단,일반산업단지,"식품가공라인,농산물가공라인","스텐,철판,모타"
