연번,회사명,사업유형,사업자등록번호,공장 주소,업종명,생산품
1583,이디엠테크,제조업,1303290051,인천광역시 부평구 항동로143번길 10-21 (일신동),절삭가공 및 유사처리업,와이어 컷 팅 기계부품
1584,이레건설인테리어,제조업,1370263392,"인천광역시 부평구 부평대로 337, 1층 102호(청천동, 부평 제이타워3차 지식산업센터) 1층 102호",기타 전기 변환장치 제조업,전기차충전기
1585,이룸티앤아이,제조업,1222910319,"인천광역시 부평구 부평대로 337, 1016호(청천동, 부평 제이타워3차 지식산업센터)",그 외 기타 전자부품 제조업,도어 인버터
1586,이성기획,제조업,1223272862,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 6층 609-B호",간판 및 광고물 제조업,"현수막, 간판"
1587,이수산업,제조업,4391900423,"인천광역시 부평구 부평북로236번길 19, 1층 (청천동)",포장용 플라스틱 성형용기 제조업,화장품용기
1588,이수산업,제조업,4391900423,"인천광역시 부평구 부평북로236번길 48 (청천동) 1,2층",포장용 플라스틱 성형용기 제조업,화장품 플라스틱 용기
1589,이앤지(E&G),제조업,1281499429,인천광역시 부평구 청천마차로 18 (청천동),간판 및 광고물 제조업,광고물
1590,이야테크,제조업,5101061482,"인천광역시 부평구 부평대로 337, 2층 235호 (청천동, 부평 제이타워3차 지식산업센터) 2층 235호",금속 절삭기계 제조업,"금형, 기계부품 가공"
1591,이에스텍,제조업,1370413407,"인천광역시 부평구 부평대로 283, 우림라이온스벨리 비동 309,309B호 (청천동, 부평 우림라이온스밸리)",전자부품 실장기판 제조업,전자부품
1592,이엔비테크,제조업,1312643360,"인천광역시 부평구 부평대로 337, 6층 607호(청천동, 부평 제이타워3차 지식산업센터) 6층 607호",생물학적 제제 제조업 외 5 종,환경미생물 등
1593,이엔티코리아 주식회사,제조업,1228622782,인천광역시 부평구 안남로402번길 11 (청천동),"전자기 측정, 시험 및 분석기구 제조업 외 1 종","전기계량기, 전기계량기"
1594,이엠씨이노베이션 주식회사,제조업,1218170419,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 9층 909호",그 외 기타 전자부품 제조업,전자부품
1595,이엠씨이노베이션(주),제조업,1218170419,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 7층 711호",그 외 기타 전자부품 제조업,전자부품
1596,이응넷,제조업,5052679623,"인천광역시 부평구 부평대로 337, 8층 804호(청천동, 부평 제이타워3차 지식산업센터) 8층 804호",인형 및 장난감 제조업,인형부품
1597,이지돔코리아,제조업,1050311614,"인천광역시 부평구 새벌로 29, 8층 811호(청천동, 부평테크노타워) 8층 811호",기타 건축용 플라스틱 조립제품 제조업 외 3 종,조립식 돔하우스
1598,이지세이버(주),제조업,1228606609,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 5층 506호","전기회로 개폐, 보호장치 제조업 외 1 종",콘센트
1599,이지오토디자인(주),제조업,3028801034,"인천광역시 부평구 부평대로 337, 5층 511호(청천동, 부평 제이타워3차 지식산업센터) 5층 511호",액체 여과기 제조업,정수기 필터소재
1600,이지테크,제조업,5950101197,"인천광역시 부평구 부평대로 337, 10층 1021호(청천동, 부평 제이타워3차 지식산업센터) 10층 1021호","용기 세척, 포장 및 충전기 제조업",자동포장기계 등
1601,이진도장시스템,제조업,1211239386,"인천광역시 부평구 부평대로 301 6층 618호 (청천동, 남광센트렉스) 6층 618호",그 외 기타 특수목적용 기계 제조업 외 1 종,도장기계
1602,이티(ET),제조업,3020698284,"인천광역시 부평구 주부토로 236,(갈산동, 인천테크노밸리 U1센터) 제디동 19층 1916호",기기용 자동측정 및 제어장치 제조업,"온도센서기, 습도센서기 외"
1603,이피트레이딩,제조업,2065160364,"인천광역시 부평구 평천로199번길 35, 4층(청천동)",그 외 기타 달리 분류되지 않은 제품 제조업,헤어핀
1604,이피트레이딩,제조업,2065160364,"인천광역시 부평구 부평대로 337, 10층 1019호(청천동, 부평 제이타워3차 지식산업센터) 10층 1019호",그 외 기타 달리 분류되지 않은 제품 제조업,머리핀
1605,이한테크,제조업,1370644879,"인천광역시 부평구 가재울로 137, 2공장2동101호, 103호 (십정동)",주형 및 금형 제조업,반도체 설비부품
1606,이호실업,제조업,1221313595,"인천광역시 부평구 주부토로 267, 2층 (갈산동)","근무복, 작업복 및 유사의복 제조업 외 2 종","군복, 군함깃발"
1607,이화금망(주),제조업,1228115175,인천광역시 부평구 안남로434번길 79 (청천동),금속선 가공제품 제조업,스텐금망
1608,이화금속공업(주),제조업,1228102200,인천광역시 부평구 안남로434번길 55 (청천동),금속 스프링 제조업,스텐선재
1609,이화레이져,제조업,1220185077,인천광역시 부평구 새벌로 22 (청천동),금속탱크 및 저장용기 제조업 외 2 종,"철강재 절단 가공, 금속탱크 및 저장용기 , 의료 마사지용 기기 "
1610,이화산업가스(주),제조업,1228188232,"인천광역시 부평구 백범로578번길 32,  256, 256-2, 256-3 (십정동)",산업용 가스 제조업,산업용가스
1611,익성금속,제조업,1370229792,인천광역시 부평구 가좌로84번길 63 (십정동),강주물 주조업,"밸브, 임펠러"
1612,인광디자인,제조업,7222001994,"인천광역시 부평구 청천마차로 188, 5층(청천동, 가연산업)",간판 및 광고물 제조업,"간판, 현수막, 아크릴, 인쇄물"
1613,인우산업,제조업,1370233490,"인천광역시 부평구 부평대로 301 2층 210호 (청천동, 남광센트렉스) 2층 210호",골판지 제조업 외 1 종,포장자재
1614,인우전기(주),제조업,1228156045,"인천광역시 부평구 부평대로 293, 부평테크시티 1106호 1107호 (청천동)",배전반 및 전기 자동제어반 제조업,분전반
1615,인제시스템,제조업,1311285500,"인천광역시 부평구 백범로577번길 20 (십정동, 경인센타)",배전반 및 전기 자동제어반 제조업,자동제어기
1616,인천에이티에스 주식회사,제조업,1138703468,"인천광역시 부평구 부평대로 283, B동 9층 903 (청천동, 부평 우림라이온스밸리) B동 9층 903호",교통 신호장치 제조업 외 3 종,교통신호제어기 등
1617,인천정밀,제조업,1221331730,인천광역시 부평구 백범로578번길 31 (십정동),가정용 전기 난방기기 제조업 외 1 종,전열부품
1618,인천종합광고,제조업,1222584507,인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 237호,간판 및 광고물 제조업,"간판, 광고물"
1619,인천탁주제조 제1공장,제조업,1222860054,"인천광역시 부평구 안남로433번길 26, 인천탁주제조 제1공장 (청천동)",탁주 및 약주 제조업,"탁주, 약주"
1620,인천해양테크,제조업,8293700765,"인천광역시 부평구 부평대로 293, 8층 809호(청천동, 부평테크시티)",방송장비 제조업,"수중카메라, 수중CCTV, 3D 프린터"
1621,인터렉티브,제조업,1292778602,"인천광역시 부평구 주부토로 236,(갈산동) 제시동 5층 505호",그 외 기타 플라스틱 제품 제조업,"아크릴 제품, 조형물, 광고물 외"
1622,인터링크에스엔에스(주),제조업,4248101373,인천광역시 부평구 부평대로313번길 18 (청천동),가방 및 기타 보호용 케이스 제조업 외 19 종,"피복류, 가방 등"
1623,인파워텍,제조업,1223026326,"인천광역시 부평구 백범로577번길 20, (십정동, 경인센타) 공장동동 6층 644호",기타 전기 변환장치 제조업 외 1 종,전기변환기기
1624,인포빌드(주),제조업,4118192150,"인천광역시 부평구 주부토로 236,(갈산동) 제디동 9층 911호",기타 무선 통신장비 제조업 외 1 종,"IoT계측기,  배전반, 자동제어기 외"
1625,인호정밀,제조업,6735200243,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 B1층 113호",전자부품 실장기판 제조업,전자부품
1626,일광산업,제조업,5960500108,"인천광역시 부평구 부평대로 337, 3층 337호(청천동, 부평 제이타워3차 지식산업센터) 3층 337호",절삭가공 및 유사처리업,기계부품
1627,일광표(주),제조업,1228631471,인천광역시 부평구 새벌로 29 7층 708호 (청천동) 7층 708호,일반용 전기 조명장치 제조업,LED조명기구
1628,일도전자,제조업,1220790489,인천광역시 부평구 새벌로 15 (청천동),그 외 기타 전자부품 제조업 외 1 종,전자부품
1629,일도전자,제조업,1220790489,"인천광역시 부평구 새벌로 15, 2층(청천동)",전자부품 실장기판 제조업,전자부품
1630,일도테크,제조업,1220776871,인천광역시 부평구 새벌로 15 (청천동),배전반 및 전기 자동제어반 제조업 외 3 종,전자부품
1631,일레덱스(주),제조업,1378187439,"인천광역시 부평구 백범로577번길 20, (십정동, 경인센타) 공장동동 4층 436호",변압기 제조업,"코아, 트랜스포머"
1632,일성기전,제조업,1221231261,"인천광역시 부평구 부평대로 301 4층 415호 (청천동, 남광센트렉스) 4층 415호",배전반 및 전기 자동제어반 제조업,전장품
1633,일성산업,제조업,1221317887,인천광역시 부평구 서달로298번길 33-4 (청천동),도장 및 기타 피막처리업,보일러 하부커버
1634,일승전자(주),제조업,1220289124,"인천광역시 부평구 부평대로 301 7층 725호 (청천동, 남광센트렉스) 7층 725호",변압기 제조업,트랜스포머
1635,일진시스템,제조업,4904200464,인천광역시 부평구 새벌로 29 (청천동) 3층 318호,인쇄 및 제책용 기계 제조업,인쇄 및 기계 제조
1636,임지빈 스튜디오,제조업,1274624678,"인천광역시 부평구 부평대로 337, 8층 801호 (청천동, 부평 제이타워3차 지식산업센터) 8층 801호 외 2필지",전시용 모형 제조업,조형물(전시용 모형)
1637,자연트레이딩,제조업,4234200222,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 12층 1209호",커피 가공업,원두커피
1638,자이언트스포츠(주) ,제조업,1228621013,"인천광역시 부평구 경원대로1037번길 20, 외 1필지 (십정동)",낚시 및 수렵용구 제조업,낚시대
1639,잘만드는(주),제조업,4728603661,"인천광역시 부평구 평천로115번길 25, 101호 (청천동)",절삭가공 및 유사처리업,"항공우주부품, 정밀기기부품"
1640,재이재이필(주),제조업,4178601822,인천광역시 부평구 부평북로 242 (청천동),기타 직물제품 제조업,마스크
1641,정도디스플레이,제조업,1221332520,"인천광역시 부평구 부평대로 283, 405호 (청천동)",그 외 기타 전자부품 제조업 외 1 종,아크릴가공
1642,정도디스플레이,제조업,1221332520,"인천광역시 부평구 부평대로 301 5층 524호 (청천동, 남광센트렉스) 5층 524호",그 외 기타 전자부품 제조업 외 1 종,전자부품 패널 탑재
1643,정밀금속,제조업,1211782613,"인천광역시 부평구 가재울로 137,제1동 제1층 제101호 (십정동)",배전반 및 전기 자동제어반 제조업,수배전반
1644,정밀주조공업,제조업,1224590690,인천광역시 부평구 경인로1002번길 9 (부평동),기타 악기 제조업 외 1 종,관악기부품
1645,정상기획,제조업,2010394096,"인천광역시 부평구 부평대로 337, 1층 109호 (청천동, 부평 제이타워3차 지식산업센터) 1층 109호",기타 인쇄업,책자 등 인쇄
1646,정상이앤티(주),제조업,1288703441,"인천광역시 부평구 백범로577번길 20, 공장동 533~534호(십정동, 경인센타)",공기 조화장치 제조업 외 1 종,"공기조화장치, 공기청정기"
1647,정수미크론,제조업,1300190120,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 1층 104호 외 1필지",주형 및 금형 제조업,금형
1648,정안테크,제조업,1222447465,"인천광역시 부평구 안남로418번길 27, 별동 101호 (청천동)",주형 및 금형 제조업,다이케스팅
1649,정우ecs,제조업,1313248478,"인천광역시 부평구 가재울로 129 (십정동, 테크노1공장)",산업처리공정 제어장비 제조업,자동제어판넬
1650,정우엔지니어링,제조업,1302337637,"인천광역시 부평구 부평대로 301 6층 607호 (청천동, 남광센트렉스) 6층 607호",기기용 자동측정 및 제어장치 제조업,자동제어판넬
1651,정원오일레스,제조업,1221727535,"인천광역시 부평구 부평대로 337, 1층 124호 (청천동, 부평 제이타워3차 지식산업센터) 1층 124호 외 1필지",그 외 기타 분류 안된 금속 가공 제품 제조업,"코어유니트,오일레스"
1652,정원오일레스,제조업,1221727535,인천광역시 부평구 청천마차로 184 (청천동),그 외 기타 금속가공업,"코아유니트, 오일레스제품"
1653,정원위너무역,제조업,1220122859,인천광역시 부평구 마장로459번길 19 (청천동),속옷 및 잠옷 제조업,"내의, 슬림"
1654,정진금속,제조업,1221474075,인천광역시 부평구 백범로578번길 65 (십정동) 305호,도금업,"임플란트, 의료기부품"
1655,정진시스템 주식회사,제조업,1228602151,"인천광역시 부평구 부평대로 283, A동 6층 606호 (청천동)",배전반 및 전기 자동제어반 제조업 외 2 종,"전기제어기,엘리베이터 제어보드"
1656,제우전자통신,제조업,1160663393,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 9층 909호",기타 절연선 및 케이블 제조업,와이어하네스
1657,제이 앤 제이,제조업,2793300787,인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 123호,주형 및 금형 제조업,가스스프링(금형부품)
1658,제이디텍,제조업,3934000816,"인천광역시 부평구 부평대로 283,(청천동, 부평우림라이온스밸리) C동 B1층 B104호",금속 절삭기계 제조업,기계부품
1659,제이씨(JC)글로벌,제조업,1223283224,"인천광역시 부평구 부평대로 337, 7층 737호(청천동, 부평 제이타워3차 지식산업센터) 7층 737호 외 3필지",전자감지장치 제조업,도장부스 등
1660,제이씨엠코퍼레이션,제조업,1390144303,"인천광역시 부평구 부평대로 337, 4층 435호(청천동, 부평 제이타워3차 지식산업센터) 4층 435호",기타 일반 기계 및 장비 수리업 외 1 종,오븐기
1661,제이앤비코스텍,제조업,7115400608,"인천광역시 부평구 마장로426번길 26, 2층 B실 (청천동)",화장품 제조업,마스크팩
1662,제이앤비테크,제조업,2761201972,"인천광역시 부평구 백범로577번길 20, 744~748호(십정동, 경인센타)",전자부품 실장기판 제조업,"센서버너, 안테나(ATN)"
1663,제이에스(JS) 펌프텍,제조업,6880800543,인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 910호,배전반 및 전기 자동제어반 제조업 외 1 종,"전기 판넬, 액체 펌프"
1664,제이에스알,제조업,4276300229,"인천광역시 부평구 부평대로 283, B동 1층 104호 (청천동, 부평 우림라이온스밸리)",산업용 그 외 비경화 고무제품 제조업,고무제품
1665,제이에스오토모티브(주),제조업,1138609029,인천광역시 부평구 평천로73번길 19 (청천동),자동차용 신품 전기장치 제조업 외 5 종,차량용전기장치
1666,제이에스컴퍼니,제조업,5530801057,"인천광역시 부평구 부평대로 337, 7층 725호(청천동, 부평 제이타워3차 지식산업센터) 7층 725호 외 1필지",산업용 로봇 제조업,산업용 로봇 제조
1667,제이에스텍,제조업,1221873230,"인천광역시 부평구 백범로577번길 20,경인센타 728호 (십정동)",주형 및 금형 제조업,콘넥터
1668,제이엘테크,제조업,2320201390,"인천광역시 부평구 새벌로 15, 2층(청천동)",그 외 기타 전자부품 제조업,전원공급장치
1669,제이엘후드텍,제조업,1292998368,"인천광역시 부평구 부평대로 301 8층 824호 (청천동, 남광센트렉스) 8층 824호",과자류 및 코코아 제품 제조업,캔디류
1670,제이엠씨 ,제조업,1092944441,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 9층 902호",포장용 플라스틱 성형용기 제조업,화장품 용기
1671,제이엠에스,제조업,5015600441,"인천광역시 부평구 부평대로 283, C동 9층 905 (청천동, 부평 우림라이온스밸리)",스크린 인쇄업,화장품용기인쇄
1672,제이오토먼트,제조업,3521500579,"인천광역시 부평구 평천로255번길 13, 3층 305호 (청천동) 3층 305호",자동차용 신품 전기장치 제조업,"와이어하네스, 하네스 조립"
1673,제이와이스코리아(주),제조업,1598602129,"인천광역시 부평구 새벌로 4, 공장동 3층 301호(청천동)",기타 직물제품 제조업,보건용 마스크
1674,제이원컴퍼니,제조업,4302801086,"인천광역시 부평구 주부토로 236, (갈산동, 인천테크노밸리 U1센터) 제비동 3층 311호",기타 인쇄업,"제품 포장용 단상자 인쇄, 아크릴 가공품 인쇄"
1675,제이케이테크,제조업,2722001392,"인천광역시 부평구 부평대로 337, 10층 1005호(청천동, 부평 제이타워3차 지식산업센터) 10층 1005호",기타 전기 변환장치 제조업,인버터
1676,제이케이텍,제조업,5933901097,"인천광역시 부평구 부평대로 337, 3층 331호(청천동, 부평 제이타워3차 지식산업센터) 3층 331호",컴퓨터 제조업,컴퓨터 서버 등
1677,제이콤(주),제조업,7288701734,"인천광역시 부평구 주부토로 236,(갈산동, 인천테크노밸리 U1센터) 제시동 17층 1713호",유선 통신장비 제조업 외 1 종,세톱박스(멀티미디어 학습장치)
1678,제이텍,제조업,,"인천광역시 부평구 평천로199번길 34, 2층 (청천동)",전시용 모형 제조업 외 1 종,교육용모형
1679,제일FC,제조업,1350496552,인천광역시 부평구 가좌로84번길 59(십정동),기타 식사용 가공처리 조리식품 제조업,냉동만두
1680,제일기획에스엔피(주),제조업,2378100974,"인천광역시 부평구 주부토로 236,(갈산동) 제디동 2층 216호",기타 인쇄업,스티커
1681,제일이엔지,제조업,1222357592,인천광역시 부평구 평천로199번길 53 (청천동),주형 및 금형 제조업,금형
1682,제일정밀,제조업,1390437647,"인천광역시 부평구 새벌로 29, 4층 418호(청천동, 부평테크노타워) 4층 418호",기타 가공 공작기계 제조업 외 1 종,카메라 모듈 지그
1683,제일정밀,제조업,1390437647,"인천광역시 부평구 부평대로 337, 3층 306호(청천동, 부평 제이타워3차 지식산업센터) 3층 306호",그 외 기타 특수목적용 기계 제조업 외 1 종,카메라 모듈지그
1684,제피에스볼링,제조업,7900700816,"인천광역시 부평구 부평대로 293, 부평테크시티 501호 502호 (청천동)",가방 및 기타 보호용 케이스 제조업,가방
1685,조선아이에스(주),제조업,1208175745,인천광역시 부평구 부평대로313번길 14 (청천동),"광고물 문안, 도안, 설계 등 작성업",광고전단지
1686,조이,제조업,4620900991,인천광역시 부평구 부평대로 301 (청천동) 남광센트렉스 7층 717호,기타 직물제품 제조업,마스크
1687,조이포스터,제조업,1310990342,인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 513호,경 인쇄업,포스터
1688,종화철강,제조업,1370860271,인천광역시 부평구 부평북로 42 (청천동),자동차용 금속 압형제품 제조업 외 1 종,"쇼트카바,탱크,방진기기"
1689,주경정밀,제조업,1310797924,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 B2층 B227호",자동차용 금속 압형제품 제조업 외 1 종,자동차부품
1690,주노어패럴,제조업,1223285843,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 B1층 B201호 외 1필지",셔츠 및 블라우스 제조업 외 1 종,스포츠의류
1691,주성산업,제조업,1220462361,"인천광역시 부평구 청농로32번길 10, 1층 (청천동)",주형 및 금형 제조업,"거울걸이BKT, 라지암 치과체어, 부속품, 자동차 관련 부속품"
1692,주성테크,제조업,1304149011,"인천광역시 부평구 부평대로 301 4층 416호 (청천동, 남광센트렉스) 4층 416호",반도체 제조용 기계 제조업,반도체 장비부품
1693,주식회사 건영종합전기,제조업,1228609907,인천광역시 부평구 열우물로 149 (십정동),그 외 기타 전기장비 제조업,지중용 compact형 접지장치
1694,주식회사 뉴엘앤비,제조업,8868803073,"인천광역시 부평구 부평대로 293, 11층 1118호 (청천동, 부평테크시티) 11층 1118호",일반용 전기 조명장치 제조업,조명기구
1695,주식회사 다인,제조업,7468600167,"인천광역시 부평구 부평대로 283, (청천동, 부평 우림라이온스밸리) C동 9층 907호",그 외 기타 플라스틱 제품 제조업,의료기기
1696,주식회사 닷,제조업,3278700041,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 5층 510-C호",그 외 기타 전자부품 제조업 외 1 종,"닷 워치, 닷 미니, 닷 셀"
1697,주식회사 대현테크노,제조업,3868601682,"인천광역시 부평구 백범로577번길 20, (십정동, 경인센타) 공장동동 6층 642호",운송장비 조립용 플라스틱제품 제조업,운송장비용 플라스틱 제품
1698,주식회사 더블유케이푸드,제조업,2298143142,"인천광역시 부평구 부평북로236번길 49, 306호(청천동, 천미테크) (청천동)",기타 식사용 가공처리 조리식품 제조업,밀키트
1699,주식회사 더에스엔제이,제조업,8238600810,"인천광역시 부평구 새벌로 4, 2층 (청천동)",핸드백 및 지갑 제조업,핸드백
1700,주식회사 덕산,제조업,1228154391,"인천광역시 부평구 길주로 633, 801호, 803호, 804호 (삼산동, 삼산메디캐슬)",방송장비 제조업 외 5 종,"구내방송장치, 감시 및 탐지장비(보안용카메라, 영상감시장치), 속도계 및 적산계기 등 제조, 라디오, 컴퓨터, 속도계, 배전반, 기타 전자부품"
1701,주식회사 동동구리무,제조업,1098650780,인천광역시 부평구 새벌로 60 (청천동),화장품 제조업,화장품
1702,주식회사 동신하이텍,제조업,1998702992,인천광역시 부평구 새벌로 28 (청천동),벽 및 바닥 피복용 플라스틱제품 제조업 외 2 종,건축용자재 등
1703,주식회사 동양인터내셔날,제조업,5068700246,"인천광역시 부평구 새벌로 4 (청천동) 3층, 4층","근무복, 작업복 및 유사의복 제조업 외 8 종","남성정장,피복,근무복,모장 등"
1704,주식회사 동익엔지니어링,제조업,1228629859,"인천광역시 부평구 부평대로 301 5층 523호 (청천동, 남광센트렉스) 5층 523호",배전반 및 전기 자동제어반 제조업,자동제어반
1705,주식회사 디오르,제조업,4708800551,"인천광역시 부평구 주부토로 236, (갈산동, 인천테크노밸리 U1센터) 제디동 4층 416호",일반용 전기 조명장치 제조업,조명기구
1706,주식회사 디오엠테크,제조업,6468801327,"인천광역시 부평구 백범로577번길 20, (십정동, 경인센타) 공장동동 5층 538호",공기 조화장치 제조업,공기조화기
1707,주식회사 디자인푸드,제조업,6048701438,인천광역시 부평구 안남로369번길 50 (청천동) 2층,도시락류 제조업,냉동도시락
1708,주식회사 리노셈,제조업,1308627420,"인천광역시 부평구 부평대로 301 8층 822호 (청천동, 남광센트렉스) 8층 822호 외 5필지",그 외 기타 의료용 기기 제조업,의료용 플라즈마 멸균기 등
1709,주식회사 맥파이온,제조업,1198175629,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) A동 3층 302-A호 외 1필지",산업용 로봇 제조업,모노레일 이송장비
1710,주식회사 메이튼오토랩,제조업,3718802854,"인천광역시 부평구 안남로369번길 8, 1~4층 (청천동)",자동차 차체용 신품 부품 제조업,"자동차 매트, 자동차 대시보드커버 외"
1711,주식회사 모닝상사,제조업,8808101059,인천광역시 부평구 백범로577번길 15-10 (십정동),"근무복, 작업복 및 유사의복 제조업 외 3 종","경비근무복, 미화작업복, 단체근무복 등"
1712,주식회사 베스트라이프,제조업,1978601554,"인천광역시 부평구 부평대로 283, B동 4층 409호 (청천동, 부평 우림라이온스밸리)",액체 여과기 제조업 외 1 종,"냉온정수기,정수장비"
1713,주식회사 브로테크,제조업,4818700985,"인천광역시 부평구 부평대로 301 9층 910호 (청천동, 남광센트렉스) 9층 910호",기타 절연선 및 케이블 제조업,케이블
1714,주식회사 브로테크,제조업,4818700985,"인천광역시 부평구 부평대로 301 9층 910호 (청천동, 남광센트렉스) 9층 910호",절연 코드세트 및 기타 도체 제조업,자동화부품
1715,주식회사 브릴리언트,제조업,1228626129,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 6층 609호",비디오 및 기타 영상기기 제조업,"CCTV, DVR"
1716,주식회사 비바,제조업,,인천광역시 부평구 청중로 98-1 (청천동),기타 무선 통신장비 제조업 외 2 종,"AI CCTV CAMERA, NDVR"
1717,주식회사 비에스아이엔티(부평지점),제조업,6508502377,"인천광역시 부평구 부평대로 293 1층 B101-1호 (청천동, 부평테크시티) 1층 B101-1호","근무복, 작업복 및 유사의복 제조업 외 17 종",의류 등
1718,주식회사 비엘에어,제조업,6148603173,"인천광역시 부평구 백범로577번길 20, 531호, 532호(십정동, 경인센타)",공기 조화장치 제조업,전열교환기 
1719,주식회사 삼구이앤티,제조업,6558801277,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 3층 309호",전자부품 실장기판 제조업,핸드포카메라모듈
1720,주식회사 선일컴퍼니,제조업,7198100194,인천광역시 부평구 부평대로313번길 84 (청천동),유아용 의복 제조업,의류
1721,주식회사 세이버스,제조업,4228602482,"인천광역시 부평구 무네미로448번길 56, S404호(구산동, 한국폴리텍대학(인천캠퍼스))",기타 전기 변환장치 제조업,"기구설계 및 제작, 현대자동차 특수공구 제작, 스마트팜 개발 제작"
1722,주식회사 세창엔지니어링,제조업,7028700219,"인천광역시 부평구 안남로 404, 1~2층(일부) (청천동)",일반용 전기 조명장치 제조업,전등기구
1723,주식회사 스마트에프앤디,제조업,2068670883,"인천광역시 부평구 부평대로313번길 32, 3층 (청천동)",남자용 겉옷 제조업 외 9 종,"남자 정복, 여자 정복, 속옷, 셔츠, 운동복, 전투복 등"
1724,주식회사 스마티웍스,제조업,2618106933,"인천광역시 부평구 부평대로 283, A동 6층 612 (청천동, 부평 우림라이온스밸리) A동 6층 612호",전시 및 광고용 조명장치 제조업 외 2 종,"LED조명기기, 제어장치, PCB"
1725,주식회사 스페이스엠,제조업,5588603233,인천광역시 부평구 항동로103번길 32 (일신동),"금속 문, 창, 셔터 및 관련제품 제조업 외 8 종","금속문, 휀스, 자전거보관대, 선박용난간, 조립식구조물, 안내판, 놀이기구, 창문틀, 전시용모형, 댐퍼 등"
1726,주식회사 시공상회,제조업,8398602230,"인천광역시 부평구 부평대로 337, 7층 731호 (청천동, 부평 제이타워3차 지식산업센터) 7층 731호",기타 목재가구 제조업,목재가구
1727,주식회사 시소컴퍼니,제조업,1228642532,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 1층 104호",기타 게임 소프트웨어 개발 및 공급업 외 1 종,소프트웨어개발
1728,주식회사 시소컴퍼니,제조업,1228642532,"인천광역시 부평구 부평대로 283, B동 7층 708호 (청천동, 부평 우림라이온스밸리)",기타 게임 소프트웨어 개발 및 공급업 외 1 종,소프트웨어개발
1729,주식회사 신성라이텍,제조업,6978602903,"인천광역시 부평구 새벌로 44, 3층 305호 (청천동)",기타 전기 변환장치 제조업 외 1 종,컨버터 등
1730,주식회사 신안룩스,제조업,2498100021,"인천광역시 부평구 평천로255번길 38, 4층 (청천동)",일반용 전기 조명장치 제조업,등기구
1731,주식회사 씨앤에이치,제조업,5708701907,"인천광역시 부평구 평천로93번길 5-1 (청천동,남강쉐르빌) 101호",전자감지장치 제조업 외 6 종,"전원장치, 차량검지기, 교통수집장치, 교통량조사기, 유지관리용 소프트웨어 등"
1732,주식회사 씨엠네트워크,제조업,1408193937,"인천광역시 부평구 부평대로 283, C동 8층 809 (청천동, 부평 우림라이온스밸리)",방송장비 제조업,CCTV
1733,주식회사 아시아홈테크,제조업,6628602284,"인천광역시 부평구 부평북로 247, 2층 (청천동)",목재문 및 관련제품 제조업,빌트인도어 및 문틀
1734,주식회사 아지즈,제조업,1668801379,"인천광역시 부평구 청천마차로 92, 4층 (청천동)",전기경보 및 신호장치 제조업 외 1 종,"가스누설경보기, 환기청정기"
1735,주식회사 에스디라이팅,제조업,1228638402,"인천광역시 부평구 새벌로 44, 306호 (청천동)",일반용 전기 조명장치 제조업,조명등기구
1736,주식회사 에스엔티,제조업,4858102116,"인천광역시 부평구 백범로577번길 20, (십정동, 경인센타) 공장동동 6층 642호",침구 및 관련제품 제조업,침구류
1737,주식회사 에이스타하이테크,제조업,2108178405,"인천광역시 부평구 부평북로236번길 49, 305호 (청천동)",방송장비 제조업,CCTV
1738,주식회사 에이치지,제조업,4088702616,"인천광역시 부평구 주부토로 236, 디동 706호 (갈산동, 인천테크노밸리 U1센터) 디동 706호",그 외 기타 금속가공업,금속 트러스(뼈대구조)
1739,주식회사 에코세미텍,제조업,6268600034,"인천광역시 부평구 부평대로 301 8층 820호 (청천동, 남광센트렉스) 8층 820호",발광 다이오드 제조업 외 1 종,"FRD,IGBT Module"
1740,주식회사 엔디케이,제조업,6428601471,"인천광역시 부평구 부평대로 337, 422호(청천동, 부평 제이타워3차 지식산업센터) 422호",동력식 수지공구 제조업,전동드릴
