연번,회사명,공장대표주소,업종
155,(주)디케이엔지,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) A동 5층 509호 외 1필지",산업처리공정 제어장비 제조업 외 3 종
156,(주)디케이엔지 ,"인천광역시 부평구 부평대로 293, 7층 705호(청천동, 부평테크시티) 7층 705호",기타 엔지니어링 서비스업
157,(주)디케이이노매틱,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 2층 202-B호",산업처리공정 제어장비 제조업 외 2 종
158,(주)디케이티,인천광역시 부평구 평천로199번길 13 (청천동),경성 인쇄회로기판 제조업
159,(주)디케이티,인천광역시 부평구 평천로199번길 25 (청천동),경성 인쇄회로기판 제조업
160,(주)디티에스아이엔씨,인천광역시 부평구 일신로39번길 16-17 (일신동),안경 및 안경렌즈 제조업
161,(주)디파트라이트,"인천광역시 부평구 부평대로 301 7층 713호 (청천동, 남광센트렉스) 7층 713호 외 1필지",일반용 전기 조명장치 제조업 외 3 종
162,(주)라이징크래프트,"인천광역시 부평구 부평대로 293, 9층 906호 (청천동, 부평테크시티) 9층 906호",유선 온라인 게임 소프트웨어 개발 및 공급업 외 2 종
163,(주)라이프디엔에이,"인천광역시 부평구 백범로577번길 20, (십정동, 경인센타) 공장동 6층 635호",기타 식품 첨가물 제조업
164,(주)라피네르,"인천광역시 부평구 평천로 213 (청천동) 생산동 1층, 3층",표면광택제 및 실내가향제 제조업
165,(주)랩랩,"인천광역시 부평구 부평대로 293, 10층 1019호 (청천동, 부평테크시티) 10층 1019호",애니메이션 영화 및 비디오물 제작업 외 1 종
166,(주)러너웨이,"인천광역시 부평구 부평대로 337, 3층 327호 (청천동, 부평 제이타워3차 지식산업센터) 3층 327호",기타 주변기기 제조업 외 4 종
167,(주)러블리페이퍼,"인천광역시 부평구 주부토로 236,(갈산동, 인천테크노밸리 U1센터) A동 9층 906호",그 외 기타 종이 및 판지 제품 제조업
168,(주)레드큐브,"인천광역시 부평구 부평대로 337, 11층 1101호(청천동, 부평 제이타워3차 지식산업센터) 11층 1101호",컴퓨터 프로그래밍 서비스업 외 1 종
169,(주)레몬인터렉티브,"인천광역시 부평구 백범로577번길 20, 공장동동 8층 843호 (십정동, 경인센타) 공장동 8층 843호",유압기기 제조업
170,(주)레블코퍼레이션,"인천광역시 부평구 부평대로 293, 9층 911호 (청천동, 부평테크시티) 9층 911호",데이터베이스 및 온라인정보 제공업 외 2 종
171,(주)레오테크,"인천광역시 부평구 청중로 100, 1층,4층,5층 (청천동)",유선 통신장비 제조업 외 10 종
172,(주)레오테크,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 7층 701호 외 1필지",비주거용 건물 임대업
173,(주)레이덱스,인천광역시 부평구 안남로 414 (청천동),기타 기계.장비 조립용 플라스틱 제품 제조업 외 2 종
174,(주)로보웰코리아,"인천광역시 부평구 부평대로 283, (청천동, 부평 우림라이온스밸리) A동 6층 609호",산업용 로봇 제조업 외 2 종
175,(주)로봇메카,"인천광역시 부평구 주부토로151번길 23, 지하 (갈산동)",산업용 로봇 제조업 외 4 종
176,(주)로이전자,"인천광역시 부평구 부평대로 301, 5층 524호 (청천동, 남광센트렉스) 5층 524호",그 외 자동차용 신품 부품 제조업 외 3 종
177,(주)로진상사,"인천광역시 부평구 새벌로 4, 2층 (청천동)",핸드백 및 지갑 제조업
178,(주)로커스로지스틱스,"인천광역시 부평구 부평대로 293, 8층 810호(청천동, 부평테크시티) 8층 810호","전시, 컨벤션 및 행사 대행업 외 1 종"
179,(주)루스테크놀로지,"인천광역시 부평구 안남로434번길 57, 5층 (청천동)",일반용 전기 조명장치 제조업 외 3 종
180,(주)룩스엠,"인천광역시 부평구 안남로402번길 84, 2층(청천동, 신우몰드(주))",일반용 전기 조명장치 제조업
181,(주)리더스이엔지,인천광역시 부평구 청천동 383-15번지,그 외 기타 플라스틱 제품 제조업 외 1 종
182,(주)리더텍,인천광역시 부평구 부평북로 126-9 (청천동),주형 및 금형 제조업
183,(주)리더팜,인천광역시 부평구 백범로577번길 15-17 (십정동) 3층,육류 포장육 및 냉동육 가공업 (가금류 제외)
184,(주)리더플렉스,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 B2층 B201호 외 4필지",구조용 금속 판제품 및 공작물 제조업
185,(주)리드바이오랩 부평지점,인천광역시 부평구 부평북로 238 (청천동),주방용 전기기기 제조업 외 1 종
186,(주)리멘,"인천광역시 부평구 청천마차로 8, 진성시스템 4층 (청천동)",기타 음향기기 제조업
187,(주)리치골드디벨롭먼트,"인천광역시 부평구 부평대로 293, 7층 710호 (청천동, 부평테크시티) 7층 710호",경영 컨설팅업
188,(주)림플러스,"인천광역시 부평구 새벌로 4, 4층 403호 (청천동)","금속 문, 창, 셔터 및 관련제품 제조업"
189,(주)림플러스,"인천광역시 부평구 청중로 93, 2층 (청천동)",주방용 전기기기 제조업 외 1 종
190,(주)립멘,인천광역시 부평구 가재울로 145 (십정동),그 외 기타 분류 안된 화학제품 제조업 외 1 종
191,(주)링크이앤씨,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 7층 707호",건축설계 및 관련 서비스업
192,(주)마농탄토,"인천광역시 부평구 부평대로 283, B동 3층 305 (청천동, 부평 우림라이온스밸리)",간판 및 광고물 제조업 외 3 종
193,(주)마루합금,"인천광역시 부평구 백범로577번길 20, 공장동동 5층 517호 (십정동, 경인센타) 공장동 5층 517호",치과기공물 제조업 외 2 종
194,(주)마미유통,"인천광역시 부평구 평천로255번길 13, 4층 404호  (청천동) 4층 404호",그 외 기타 의복액세서리 제조업
195,(주)마스터코리아,"인천광역시 부평구 주부토로 236,(갈산동) 제디동 5층 510호",그 외 기타 일반목적용 기계 제조업
196,(주)마이데이즈,인천광역시 부평구 부평북로236번길 19 (청천동),기타 직물제품 제조업
197,(주)마이데이즈,"인천광역시 부평구 안남로369번길 30, 1층 (청천동)",기타 직물제품 제조업
198,(주)마이비클,"인천광역시 부평구 무네미로448번길 56, 역사관 202호(구산동, 한국폴리텍대학(인천캠퍼스))",기기용 자동측정 및 제어장치 제조업
