순번,업체명,업종,주생산품,용지면적,제조시설,부대시설,남,여
275,세종바이오셀(주),"그 외 기타 분류 안된 금속 가공 제품 제조업 외 4종 (25999, 22229, 22299, 25912, 33999)","우산빗물제거기, 우산꽂이 외",165,100,65,1,0
276,예스상사,간판 및 광고물 제조업 (33910),간판,1552.9,1350.3,100.6,32,15
277,파이오벡,반도체 제조용 기계 제조업 (29271),연구용장비,0,33,50,0,0
278,(주)신넥앤테크,"증류기, 열교환기 및 가스발생기 제조업 외 1종 (29176, 29150)","수소추출기, 수성가스발생기 및 가스연소버너",366.75,366.75,0,0,0
279,(주)엘트리,기타 식사용 가공처리 조리식품 제조업 (10759),식사용 포장식품(냉동피자 등),685.18,565.18,120,3,5
280,(주)이룸푸드시스템,육류 포장육 및 냉동육 가공업 (가금류 제외) (10122),간편조리식품(포장육),317.87,317.87,0,4,1
281,(주)플루캠프,"축전지 제조업 외 1종 (28202, 28119)","인산철밧데리, 인버터 등",1406.61,1357.49,140.4,8,4
282,가람,매트리스 및 침대 제조업 (32011),매트리스,2548.1,491.76,413.97,2,1
283,떡미당,태양력 발전업 (35114),전기,0,0,0,1,0
284,백제축산,육류 포장육 및 냉동육 가공업 (가금류 제외) (10122),포장육,257.74,257.74,0,6,0
285,(주)네오에너지커넥터,"물질 검사, 측정 및 분석기구 제조업 (27213)",태양광측정장비,0,27,0,3,1
286,(주)드론디비젼,무인 항공기 및 무인 비행장치 제조업 (31312),드론,0,28.05,8.35,3,1
287,(주)비엠테크,"기타 무선 통신장비 제조업 외 7종 (26429, 26295, 26299, 26410, 28123, 58221, 62010, 70121)",유무선통신기기시스템,0,31.63,14.3,11,3
288,(주)서지텍,"전자기 측정, 시험 및 분석기구 제조업 (27212)",피뢰기 시험기,0,20,20,3,2
289,(주)솔잎기술,그 외 기타 분류 안된 화학제품 제조업 (20499),하드코팅용 코팅 수징,0,171.14,287.74,5,2
290,(주)와이파워원,"기타 전기 변환장치 제조업 외 1종 (28119, 28909)","기타 전기변환장치, 무선전력전송기기",0,52.5,30,19,0
291,(주)트위니,산업용 로봇 제조업 (29280),물류로봇,0,74.82,42.63,106,48
292,(주)플로우컴스,반도체 제조용 기계 제조업 (29271),가스배관라인 및 케미칼 충진설비 외,42.922,24,89.16,1,1
293,주식회사 더블유에스앤씨,그 외 기타 전기장비 제조업 (28909),"행거, 실외기 받침대",3283,1498.24,1014.95,1,1
294,주식회사 제이제이엔에스,"그 외 자동차용 신품 부품 제조업 외 1종 (30399, 72122)",자동차용 신품 부품 제조업,0,365.195,0,0,0
295,주식회사 지최일만,응용 소프트웨어 개발 및 공급업 (58222),플랫폼 소프트웨어,0,0,16.575,3,3
296,페인트팜(주),"일반용 도료 및 관련제품 제조업 외 3종 (20411, 26329, 27302, 75992)","스크린페인트, 영사스크린, 멀티미디어학습장치, 전시대행",0,80,0,4,4
297,한소 주식회사,"기체 여과기 제조업 외 2종 (29174, 28909, 70111)",UV 공기살균청정기,3727,76.63,2554.32,36,9
